ligand,best_score,mean_score,std_score,n_receptors,n_good,consensus_x,score_5AP7,best_cnn,mean_cnn,best_vina,consensus_y,final_score,score_source
phase2b_seed_4_165415295,-8.4,-8.4,0.0,1,1,False,-8.4,,,,,-8.4,smina
phase2b_seed_2_16739265,-8.4,-8.4,0.0,1,1,False,-8.4,,,,,-8.4,smina
phase2b_seed_1_122685543,-8.4,-8.4,0.0,1,1,False,-8.4,,,,,-8.4,smina
phase2b_seed_1_5517,-8.4,-8.4,0.0,1,1,False,-8.4,,,,,-8.4,smina
phase2b_seed_1_44603362,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_44199470,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_0_11552706,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_2_72188645,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_1_46901383,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_53469617,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_2_58111426,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_24996879,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_0_24958200,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_58386288,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_2_164938183,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_137449220,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_2_462958,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_165414951,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_164628676,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_0_46181428,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_53482332,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_1_23649245,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_53329531,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_91809176,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_53469815,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_0_66571548,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_1_9826322,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_2_58548219,-8.3,-8.3,0.0,1,1,False,-8.3,,,,,-8.3,smina
phase2b_seed_4_56932125,-8.2,-8.2,0.0,1,1,False,-8.2,,,,,-8.2,smina
