ligand,best_score,mean_score,std_score,n_receptors,n_good,consensus,score_5AP7
phase2b_seed_2_135398510,-9.0,-9.0,0.0,1,1,False,-9.0
phase2b_seed_2_447682,-9.0,-9.0,0.0,1,1,False,-9.0
phase2b_seed_0_5291,-9.0,-9.0,0.0,1,1,False,-9.0
phase2b_seed_0_9939865,-9.0,-9.0,0.0,1,1,False,-9.0
phase2b_seed_1_11338127,-9.0,-9.0,0.0,1,1,False,-9.0
phase2b_seed_4_66555847,-8.9,-8.9,0.0,1,1,False,-8.9
phase2b_seed_4_9822488,-8.9,-8.9,0.0,1,1,False,-8.9
phase2b_seed_1_71245288,-8.9,-8.9,0.0,1,1,False,-8.9
phase2b_seed_2_25061501,-8.9,-8.9,0.0,1,1,False,-8.9
phase2b_seed_4_129136448,-8.9,-8.9,0.0,1,1,False,-8.9
phase2b_seed_4_71288682,-8.9,-8.9,0.0,1,1,False,-8.9
phase2b_seed_3_70817911,-8.9,-8.9,0.0,1,1,False,-8.9
phase2b_seed_3_44814409,-8.9,-8.9,0.0,1,1,False,-8.9
phase2b_seed_0_60195662,-8.9,-8.9,0.0,1,1,False,-8.9
phase2b_seed_1_59215954,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_1_11618268,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_4_121333495,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_2_135564899,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_4_59455648,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_2_25218593,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_2_9908783,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_0_25062766,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_2_454730,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_2_49872646,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_2_53329353,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_2_53346507,-8.8,-8.8,0.0,1,1,False,-8.8
phase2b_seed_0_51358113,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_4_121333500,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_3_9934283,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_3_16718576,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_4_121408882,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_4_46188928,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_1_44370579,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_1_52934180,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_1_57662985,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_4_86713879,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_4_135886489,-8.7,-8.7,0.0,1,1,False,-8.7
phase2b_seed_0_11167112,-8.7,-8.7,0.0,1,1,False,-8.7
