ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM
phase2_7CHN_LIG_166866535,7CHN_LIG,-10.03,4,2,451.56,4.03,3,9,111.12,6.796,159.9
phase2_7CHN_LIG_155109158,7CHN_LIG,-9.339,5,2,405.46,3.53,3,7,118.96,6.796,160.09
phase2_7CHN_LIG_155109139,7CHN_LIG,-9.868,4,2,430.51,4.67,3,6,106.07,6.79,162.3
phase2_7CHN_LIG_155118972,7CHN_LIG,-8.448,4,2,381.44,3.0,4,8,133.9,6.785,163.96
phase2_7CHN_LIG_155109147,7CHN_LIG,-10.341,4,2,444.54,5.06,3,6,106.07,6.783,164.69
phase2_7CIL_LIG_166635463,7CIL_LIG,-8.925,5,0,337.39,1.88,3,8,124.47,6.782,165.08
phase2_7CHM_LIG_142416311,7CHM_LIG,-9.557,4,2,466.52,2.98,4,8,130.99,6.778,166.72
phase2_7CHM_LIG_142416352,7CHM_LIG,-9.241,4,2,453.48,3.02,3,8,128.19,6.777,166.99
phase2_7CHM_LIG_155012414,7CHM_LIG,-9.196,4,2,452.49,2.54,3,8,122.2,6.774,168.32
phase2_7CHM_LIG_142416358,7CHM_LIG,-9.402,5,2,452.49,2.54,3,8,122.2,6.774,168.32
phase2_7CHN_LIG_155119025,7CHN_LIG,-8.82,4,2,421.51,3.71,4,8,122.12,6.771,169.26
phase2_7CHM_LIG_77846573,7CHM_LIG,-10.158,5,0,472.55,4.8,5,7,124.19,6.758,174.65
phase2_7CHM_LIG_142416363,7CHM_LIG,-9.197,4,2,425.42,2.23,3,8,128.19,6.74,181.91
phase2_7CHM_LIG_142416357,7CHM_LIG,-9.259,4,2,439.45,2.63,3,8,128.19,6.723,189.28
phase2_7CIL_LIG_166673091,7CIL_LIG,-8.971,4,2,330.37,1.74,4,7,95.48,6.723,189.22
phase2_7CHN_LIG_166866595,7CHN_LIG,-8.89,1,0,407.48,3.32,4,8,122.12,6.722,189.88
phase2_7CHN_LIG_166866548,7CHN_LIG,-9.799,4,2,435.56,4.79,3,8,101.89,6.718,191.28
phase2_7CHM_LIG_155012426,7CHM_LIG,-9.27,4,2,466.52,2.93,3,8,122.2,6.718,191.49
phase2_7CHM_LIG_142416333,7CHM_LIG,-9.468,5,2,466.52,2.93,3,8,122.2,6.718,191.49
phase2_7CHM_LIG_142436041,7CHM_LIG,-9.903,1,0,454.48,4.49,3,6,106.07,6.713,193.79
phase2_7CIL_LIG_175716355,7CIL_LIG,-9.089,4,2,360.85,2.64,4,7,95.48,6.708,195.72
phase2_7CHN_LIG_155691552,7CHN_LIG,-9.529,4,2,419.49,3.78,3,7,118.96,6.703,198.02
phase2_7CHN_LIG_155118997,7CHN_LIG,-10.735,4,2,476.54,3.78,3,8,136.39,6.702,198.52
phase2_7CHM_LIG_162614708,7CHM_LIG,-9.327,2,0,494.49,4.34,4,6,94.31,6.698,200.29
phase2_7CHM_LIG_146393798,7CHM_LIG,-9.307,1,0,478.45,4.82,2,5,79.48,6.692,203.12
phase2_7CIL_LIG_127048092,7CIL_LIG,-8.062,3,0,321.39,3.54,2,6,95.21,6.688,204.99
phase2_7CIL_LIG_127046342,7CIL_LIG,-8.333,3,0,335.42,3.93,2,6,95.21,6.687,205.59
phase2_7CHN_LIG_155118894,7CHN_LIG,-10.293,3,2,444.5,3.67,3,9,125.7,6.685,206.64
phase2_7CHM_LIG_142436020,7CHM_LIG,-8.808,2,0,494.49,4.29,3,6,85.52,6.685,206.63
phase2_7CHN_LIG_155119000,7CHN_LIG,-10.86,4,2,456.55,5.13,3,8,116.47,6.679,209.57
phase2_7CHN_LIG_155118908,7CHN_LIG,-8.956,4,2,365.44,3.62,4,7,124.67,6.674,211.98
phase2_7CHN_LIG_166866573,7CHN_LIG,-9.067,4,2,421.46,2.85,4,8,139.19,6.654,222.06
phase2_7CHM_LIG_146329790,7CHM_LIG,-8.728,3,2,496.54,2.75,2,8,115.74,6.646,225.99
phase2_7CHM_LIG_146329895,7CHM_LIG,-9.852,1,0,450.52,4.58,3,6,106.07,6.644,226.73
phase2_7CHM_LIG_142416326,7CHM_LIG,-8.884,2,0,495.48,3.69,3,7,98.41,6.638,230.18
phase2_7CHM_LIG_155012424,7CHM_LIG,-9.29,4,2,495.48,3.69,3,7,98.41,6.638,230.18
phase2_7CHM_LIG_142436016,7CHM_LIG,-8.254,1,0,482.52,2.88,2,8,115.74,6.635,231.66
phase2_7CIL_LIG_157996792,7CIL_LIG,-7.521,4,2,271.33,2.09,3,6,83.45,6.614,243.46
phase2_7CHN_LIG_166866572,7CHN_LIG,-9.196,4,2,421.51,3.57,4,8,122.12,6.612,244.16
phase2_7CHN_LIG_166866574,7CHN_LIG,-9.309,5,2,405.46,3.53,3,7,118.96,6.57,269.39
phase2_7CHM_LIG_142436034,7CHM_LIG,-10.153,1,0,440.45,4.1,3,6,106.07,6.561,274.86
phase2_7CHM_LIG_122490585,7CHM_LIG,-8.883,5,2,400.41,2.36,3,7,104.4,6.56,275.28
phase2_7CHN_LIG_155109125,7CHN_LIG,-9.378,5,2,419.49,3.92,3,7,118.96,6.558,276.48
phase2_7CHM_LIG_146329789,7CHM_LIG,-9.747,4,2,496.59,3.74,3,7,94.75,6.546,284.77
phase2_7CIL_LIG_155022147,7CIL_LIG,-7.706,4,2,282.31,1.66,3,7,107.24,6.545,285.3
phase2_7CHN_LIG_155109143,7CHN_LIG,-9.384,4,2,406.49,4.19,3,6,95.17,6.543,286.57
phase2_7CHN_LIG_155118890,7CHN_LIG,-9.813,4,2,420.52,4.58,3,6,95.17,6.535,291.54
phase2_7CHM_LIG_146393706,7CHM_LIG,-9.114,1,0,479.43,4.22,2,6,92.37,6.534,292.61
phase2_7CHN_LIG_155691548,7CHN_LIG,-9.06,4,2,449.52,3.55,3,8,128.19,6.52,302.14
phase2_7CHM_LIG_142436000,7CHM_LIG,-9.272,5,2,434.5,3.48,3,7,115.3,6.513,307.12
phase2_7CHM_LIG_146329893,7CHM_LIG,-10.15,1,0,436.49,4.19,3,6,106.07,6.512,307.39
phase2_7CHT_LIG_151121021,7CHT_LIG,-9.439,2,0,421.46,3.15,3,8,128.19,6.496,319.09
phase2_7CHM_LIG_142416417,7CHM_LIG,-10.081,1,0,441.44,3.49,3,7,118.96,6.495,320.12
phase2_7CHM_LIG_142436084,7CHM_LIG,-9.228,5,2,420.47,3.09,3,7,115.3,6.486,326.46
phase2_7CIL_LIG_177211774,7CIL_LIG,-9.146,4,2,348.41,2.54,2,7,98.45,6.476,334.1
phase2_7CHN_LIG_166866571,7CHN_LIG,-8.83,4,2,451.53,3.34,4,9,131.35,6.475,334.71
phase2_7CIL_LIG_157996794,7CIL_LIG,-8.383,1,0,324.39,2.82,3,7,107.24,6.472,337.45
phase2_7CHM_LIG_142436018,7CHM_LIG,-9.1,4,2,434.5,3.48,3,7,115.3,6.467,341.52
phase2_7CHN_LIG_155109132,7CHN_LIG,-9.86,3,2,433.52,4.17,3,7,118.96,6.458,348.24
phase2_7CIL_LIG_155022106,7CIL_LIG,-7.688,4,2,282.31,1.66,3,7,107.24,6.446,358.1
phase2_7CIL_LIG_151591358,7CIL_LIG,-7.855,5,2,282.31,1.74,3,7,107.24,6.445,358.77
phase2_7CHM_LIG_142436085,7CHM_LIG,-8.082,3,0,450.5,2.72,3,8,124.53,6.44,363.33
phase2_7CHM_LIG_142416365,7CHM_LIG,-9.527,5,2,455.47,3.88,3,7,118.96,6.431,370.82
phase2_7CIL_LIG_155928385,7CIL_LIG,-9.079,4,0,351.42,1.89,2,9,113.61,6.421,379.44
phase2_7CHN_LIG_155109167,7CHN_LIG,-10.333,4,2,487.53,6.21,3,5,82.28,6.417,382.91
phase2_7CHN_LIG_155109177,7CHN_LIG,-10.224,4,2,474.49,5.21,3,6,95.17,6.412,387.25
phase2_7CHM_LIG_155564829,7CHM_LIG,-9.642,4,2,471.52,3.62,5,7,133.06,6.412,387.67
phase2_7CHN_LIG_155109171,7CHN_LIG,-10.138,4,2,488.51,5.6,3,6,95.17,6.406,393.1
phase2_7CIL_LIG_142416376,7CIL_LIG,-8.311,1,0,335.38,2.38,3,8,131.03,6.376,420.7
phase2_7CHM_LIG_146290574,7CHM_LIG,-8.906,5,0,475.47,4.38,3,6,91.51,6.366,430.77
phase2_7CHM_LIG_117881492,7CHM_LIG,-9.448,4,1,464.46,3.05,3,8,123.28,6.356,440.44
phase2_7CHM_LIG_142435998,7CHM_LIG,-9.194,5,2,420.47,3.09,3,7,115.3,6.35,447.11
phase2_7CHM_LIG_151973166,7CHM_LIG,-9.398,4,2,476.46,3.78,3,7,104.4,6.346,450.58
phase2_7CHM_LIG_122490584,7CHM_LIG,-9.138,5,2,408.46,2.76,3,7,104.4,6.346,451.19
phase2_7CHM_LIG_118286440,7CHM_LIG,-8.814,5,2,415.43,2.72,2,7,101.6,6.322,476.01
phase2_7CHN_LIG_155119010,7CHN_LIG,-8.828,4,2,418.46,3.13,3,9,125.7,6.321,477.78
phase2_7CHM_LIG_146289656,7CHM_LIG,-9.861,1,0,436.42,4.35,3,6,106.07,6.314,485.59
phase2_7CHM_LIG_118286345,7CHM_LIG,-8.812,4,2,428.47,2.64,2,7,95.61,6.306,494.48
phase2_7CHM_LIG_142436062,7CHM_LIG,-9.095,4,2,406.45,2.7,3,7,115.3,6.278,527.07
phase2_7CIL_LIG_142416390,7CIL_LIG,-8.84,5,2,369.82,3.11,3,8,131.03,6.261,548.27
phase2_7CIL_LIG_142416341,7CIL_LIG,-7.489,5,2,312.34,1.19,4,8,127.47,6.255,556.05
phase2_7CIL_LIG_142416321,7CIL_LIG,-8.6,4,2,369.82,3.11,3,8,131.03,6.251,560.79
phase2_7CHM_LIG_146393712,7CHM_LIG,-9.283,1,0,460.46,4.68,2,5,79.48,6.22,602.45
phase2_7CHM_LIG_146393637,7CHM_LIG,-6.956,2,0,439.49,3.98,2,6,92.37,6.214,610.53
phase2_7CHN_LIG_155109155,7CHN_LIG,-9.063,4,2,420.4,3.9,3,6,95.17,6.202,627.72
phase2_7CHM_LIG_148534597,7CHM_LIG,-8.777,5,0,489.5,3.69,3,7,98.41,6.2,631.54
phase2_7CHM_LIG_150071746,7CHM_LIG,-9.37,4,2,451.44,4.13,3,7,118.96,6.2,630.66
phase2_7CHM_LIG_118286394,7CHM_LIG,-9.52,5,2,438.46,3.55,2,7,116.16,6.194,640.06
phase2_7CHM_LIG_117881533,7CHM_LIG,-9.725,4,0,464.5,4.4,2,7,105.26,6.194,639.92
phase2_7CHM_LIG_146393636,7CHM_LIG,-9.105,4,2,411.44,3.2,2,6,92.37,6.192,642.99
phase2_7CHM_LIG_155548752,7CHM_LIG,-9.616,4,2,473.54,3.84,5,7,133.06,6.161,689.85
phase2_7CHM_LIG_146393700,7CHM_LIG,-9.732,1,0,494.57,3.66,2,7,95.61,6.16,691.64
phase2_7CHM_LIG_142436060,7CHM_LIG,-8.476,5,0,493.49,3.86,3,7,100.74,6.159,693.34
phase2_7CHM_LIG_155022157,7CHM_LIG,-8.882,1,0,484.43,4.64,3,6,95.17,6.134,734.73
phase2_7CHM_LIG_57383019,7CHM_LIG,-8.605,3,0,464.57,2.38,2,7,95.61,6.125,750.72
phase2_7CHM_LIG_142416343,7CHM_LIG,-9.414,1,0,498.46,5.03,3,6,95.17,6.092,809.15
phase2_7CHM_LIG_117884097,7CHM_LIG,-9.946,5,0,458.52,4.45,3,7,114.05,6.083,825.95
phase2_7CHM_LIG_146393608,7CHM_LIG,-8.996,1,0,461.44,4.08,2,6,92.37,6.076,840.08
phase2_7CHM_LIG_118286352,7CHM_LIG,-8.927,3,0,425.49,3.36,2,7,101.6,6.023,948.65
phase2_7CHM_LIG_155022056,7CHM_LIG,-9.121,3,2,464.45,3.63,3,7,104.4,6.011,975.82
phase2_7CHM_LIG_122490578,7CHM_LIG,-9.374,5,2,452.52,2.77,3,8,113.63,6.005,987.5
phase2_7CHM_LIG_155532159,7CHM_LIG,-7.976,3,0,369.43,3.2,2,6,92.37,6.004,990.87
phase2_7CHM_LIG_142416414,7CHM_LIG,-8.605,5,0,478.48,4.02,3,7,104.4,6.0,999.07
phase2_7CHM_LIG_155012434,7CHM_LIG,-9.158,3,2,478.48,4.02,3,7,104.4,6.0,999.07
phase2_7CHM_LIG_142416349,7CHM_LIG,-9.149,3,2,478.48,4.02,3,7,104.4,6.0,999.07
phase2_7CHM_LIG_155554448,7CHM_LIG,-9.75,5,2,439.52,3.75,2,7,101.6,5.993,1015.7
phase2_7CHM_LIG_118286384,7CHM_LIG,-8.899,5,2,411.46,2.97,2,7,101.6,5.987,1029.35
phase2_7CHM_LIG_77846657,7CHM_LIG,-10.314,5,0,457.53,5.06,3,6,101.16,5.987,1030.16
phase2_7CHM_LIG_126482550,7CHM_LIG,-8.743,4,2,411.46,2.97,2,7,101.6,5.987,1029.35
phase2_7CHM_LIG_142436063,7CHM_LIG,-9.536,3,0,449.43,3.85,3,6,91.51,5.971,1067.99
phase2_7CHN_LIG_59442331,7CHN_LIG,-6.449,5,1,480.57,2.9,4,7,127.51,5.96,1096.77
phase2_7CHM_LIG_155536065,7CHM_LIG,-9.103,4,2,411.46,2.97,2,7,101.6,5.954,1111.78
phase2_7CHM_LIG_140767798,7CHM_LIG,-8.525,1,0,438.46,4.23,2,6,96.73,5.953,1114.47
phase2_7CHM_LIG_122490572,7CHM_LIG,-8.984,5,2,444.92,3.66,3,7,104.4,5.953,1113.15
phase2_7CHM_LIG_118286279,7CHM_LIG,-8.84,5,2,436.52,3.03,2,7,95.61,5.952,1116.99
phase2_7CHM_LIG_126482470,7CHM_LIG,-9.321,5,2,436.52,3.03,2,7,95.61,5.952,1116.99
phase2_7CHM_LIG_118286387,7CHM_LIG,-9.254,3,0,438.53,3.28,2,7,95.61,5.947,1129.84
phase2_7CHM_LIG_122490554,7CHM_LIG,-8.917,5,2,410.48,3.0,3,7,104.4,5.944,1137.3
phase2_7CHM_LIG_142416325,7CHM_LIG,-8.381,5,0,450.42,3.24,3,7,104.4,5.906,1241.56
phase2_7CHM_LIG_117881522,7CHM_LIG,-9.632,4,2,478.48,3.39,2,8,114.49,5.902,1252.23
phase2_7CHM_LIG_118286449,7CHM_LIG,-8.35,4,2,399.45,2.61,4,7,121.39,5.901,1254.91
phase2_7CHM_LIG_155558488,7CHM_LIG,-9.99,5,2,481.55,3.52,2,8,110.83,5.899,1262.54
phase2_7CHM_LIG_155545935,7CHM_LIG,-9.696,4,2,409.49,4.12,2,6,92.37,5.897,1266.88
phase2_7CHM_LIG_155562324,7CHM_LIG,-9.228,4,2,395.46,3.73,2,6,92.37,5.892,1283.67
phase2_7CHM_LIG_122490553,7CHM_LIG,-8.516,4,2,426.48,2.24,3,8,113.63,5.89,1286.85
phase2_7CHM_LIG_122457166,7CHM_LIG,-8.898,1,0,383.41,1.62,3,8,117.29,5.887,1296.85
phase2_7CHM_LIG_122490576,7CHM_LIG,-8.582,4,2,430.9,3.27,3,7,104.4,5.874,1335.74
phase2_7CHM_LIG_122490551,7CHM_LIG,-8.674,4,2,396.45,2.61,3,7,104.4,5.845,1427.43
phase2_7CHM_LIG_112499966,7CHM_LIG,-8.746,4,2,416.87,2.88,3,7,104.4,5.839,1449.18
phase2_7CHM_LIG_122490552,7CHM_LIG,-8.693,5,2,382.42,2.22,3,7,104.4,5.829,1483.29
phase2_7CHM_LIG_118286277,7CHM_LIG,-9.012,5,2,450.54,3.28,2,7,95.61,5.782,1653.17
phase2_7CHM_LIG_117881541,7CHM_LIG,-9.579,4,2,436.45,3.62,2,7,105.26,5.78,1661.18
phase2_7CHM_LIG_122490581,7CHM_LIG,-8.729,5,2,387.83,2.84,2,6,92.37,5.777,1670.63
phase2_7CHM_LIG_155012431,7CHM_LIG,-8.535,5,0,492.5,4.41,3,7,104.4,5.749,1784.13
phase2_7CHM_LIG_118286428,7CHM_LIG,-8.737,5,2,397.44,2.58,2,7,101.6,5.649,2243.99
phase2_7CHM_LIG_117881546,7CHM_LIG,-9.63,4,0,450.47,3.93,2,7,105.26,5.648,2246.98
phase2_7CHM_LIG_118286451,7CHM_LIG,-8.696,1,0,411.46,2.97,2,7,101.6,5.624,2378.66
phase2_7CHM_LIG_69920162,7CHM_LIG,-9.197,3,1,443.51,4.29,2,7,104.29,5.55,2815.38
phase2_7CHM_LIG_122490550,7CHM_LIG,-8.793,1,0,353.38,2.18,2,6,92.37,5.502,3145.14
phase2_7CHM_LIG_118286447,7CHM_LIG,-9.07,5,2,425.49,3.36,2,7,101.6,5.464,3431.71
