pdb_id
2X9E
2ZMD
3GFW
3HMP
3W1F
3WYY
3WZJ
3WZK
4C4E
4C4G
4C4H
4C4I
4C4J
4CV8
4CV9
4CVA
4D2S
4JS8
4JT3
4O6L
5EH0
5EHL
5EHO
5EI2
5EI6
5EI8
5LJJ
5MRB
5N7V
5N84
5N87
5N93
5N9S
5NA0
5NAD
5NTT
6B4W
6H3K
6N6O
6TN9
6TNB
6TNC
6TND
7CHM
7CHN
7CHT
7CIL
7CJA
7CLH
7LQD
