ligand,affinity_kcal,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder
phase2_7CHM_LIG_155554448,-9.75,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.15a=148.9 | GLY605(ldon)d=3.35a=118.2,True
phase2_7CHM_LIG_146329789,-9.747,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.25a=153.0 | GLY605(ldon)d=3.40a=149.8 | GLY605(ldon)d=3.40a=131.8,True
phase2_7CHM_LIG_146393700,-9.732,0,0,0,0,0,0,0,[],,False
phase2_7CHM_LIG_117881533,-9.725,4,1,3,0,0,0,0,[605],GLY605(pdon)d=3.78a=142.9 | GLY605(ldon)d=3.18a=121.3 | GLY605(ldon)d=3.67a=109.2 | GLY605(ldon)d=3.06a=119.4,True
phase2_7CHN_LIG_155109126,-9.721,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.45a=151.9,True
phase2_7CHM_LIG_142416332,-9.708,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.23a=148.2 | GLY605(ldon)d=3.43a=155.3 | GLY605(ldon)d=2.99a=145.9,True
phase2_7CHM_LIG_155545935,-9.696,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.28a=151.0 | GLY605(ldon)d=3.15a=106.3 | GLY605(ldon)d=3.39a=118.8,True
phase2_7CHM_LIG_142416320,-9.689,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.24a=148.2,True
phase2_7CHM_LIG_142416410,-9.689,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.21a=148.8 | GLU603(ldon)d=3.13a=131.5 | GLY605(ldon)d=3.46a=150.9,True
phase2_7CHM_LIG_148694189,-9.686,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.16a=149.1 | GLY605(ldon)d=2.91a=135.2,True
phase2_7CJA_LIG_169728188,-9.664,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.33a=146.6 | GLY605(ldon)d=2.91a=122.8,True
phase2_7CIL_LIG_129275440,-9.659,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.01a=158.0 | GLY605(ldon)d=2.81a=130.0,True
