ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2_7CHN_LIG_155118997,7CHN_LIG,-10.735,1,1,476.54,3.78,3,8,136.39,6.702,198.52,COc1cc(N2CCCC2=O)ccc1Nc1nc(O[C@H]2CC[C@@](C)(O)CC2)c2c(C#N)c[nH]c2n1,4.733,0.328,18489.18,low,0.028338245295851282,0.3007518796992479,0.16454506249754958
phase2_7CHM_LIG_146393798,7CHM_LIG,-9.307,3,0,478.45,4.82,2,5,79.48,6.692,203.12,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1cc(C2CC2)c2c(C(F)(F)F)c[nH]c2n1,5.084,0.169,8249.56,moderate,0.35207435955565614,0.5037593984962403,0.4279168790259482
phase2_7CIL_LIG_127048092,7CIL_LIG,-8.062,1,0,321.39,3.54,2,6,95.21,6.688,204.99,N#CC[C@@H](C1CCCC1)n1cc(Nc2ncnc3[nH]ccc23)cn1,4.762,0.26,17281.97,low,0.6343232827023352,0.31752458068247513,0.47592393169240516
phase2_7CIL_LIG_127046342,7CIL_LIG,-8.333,2,0,335.42,3.93,2,6,95.21,6.687,205.59,N#CC[C@@H](C1CCCCC1)n1cc(Nc2ncnc3[nH]ccc23)cn1,4.769,0.262,17004.8,low,0.5728859669009294,0.32157316367842687,0.44722956528967817
phase2_7CHM_LIG_146312779,7CHM_LIG,-8.605,3,0,494.49,4.29,3,6,85.52,6.685,206.63,CNc1cc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@@H]3C)cc2OC)nc2[nH]cc(C(F)(F)F)c12,5.13,0.153,7416.62,moderate,0.5112219451371569,0.5303643724696355,0.5207931588033963
phase2_7CHN_LIG_155118894,7CHN_LIG,-10.293,4,3,444.5,3.67,3,9,125.7,6.685,206.64,COc1cc(-n2ccnc2C)ccc1Nc1nc(NC2CCOCC2)c2c(C#N)c[nH]c2n1,4.485,0.255,32742.12,low,0.12854228066198145,0.15731636784268377,0.14292932425233262
phase2_7CHM_LIG_142436020,7CHM_LIG,-8.808,2,0,494.49,4.29,3,6,85.52,6.685,206.63,CNc1cc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@H]3C)cc2OC)nc2[nH]cc(C(F)(F)F)c12,5.504,0.159,3134.92,moderate,0.4652006347766946,0.7466743782533253,0.6059375065150099
phase2_7CHN_LIG_155119000,7CHN_LIG,-10.86,5,1,456.55,5.13,3,8,116.47,6.679,209.57,COc1cc(-n2cc(C)nc2C)ccc1Nc1nc(NC2CCCCC2)c2c(C#N)c[nH]c2n1,4.371,0.257,42517.22,low,-0.0,0.0913823019086179,0.04569115095430895
phase2_7CHN_LIG_155118908,7CHN_LIG,-8.956,4,1,365.44,3.62,4,7,124.67,6.674,211.98,COc1cc(N)ccc1Nc1nc(NCC(C)(C)C)c2c(C#N)c[nH]c2n1,5.105,0.367,7857.97,low,0.43164815234640674,0.515905147484095,0.47377664991525087
phase2_7CHN_LIG_166866573,7CHN_LIG,-9.067,4,1,421.46,2.85,4,8,139.19,6.654,222.06,CC[C@@H](O)Nc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,4.472,0.158,33729.95,moderate,0.40648379052369066,0.14979757085020262,0.27814068068694664
phase2_7CHM_LIG_146329790,7CHM_LIG,-8.728,3,2,496.54,2.75,2,8,115.74,6.646,225.99,COCCN(C)c1cc(NCc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,4.911,0.13,12281.9,moderate,0.48333711176603944,0.4037015615962981,0.4435193366811688
phase2_7CHM_LIG_146329895,7CHM_LIG,-9.852,4,1,450.52,4.58,3,6,106.07,6.644,226.73,CCNc1cc(Nc2ccc(C(=O)N3CCC(C)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,5.416,0.199,3834.79,moderate,0.22851961006574456,0.6957779063042222,0.46214875818498335
phase2_7CHM_LIG_155012424,7CHM_LIG,-9.29,2,0,495.48,3.69,3,7,98.41,6.638,230.18,CNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@@H]3C)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.708,0.135,19610.38,moderate,0.3559283609158922,0.2862926547137074,0.3211105078147998
phase2_7CHM_LIG_142416326,7CHM_LIG,-8.884,2,1,495.48,3.69,3,7,98.41,6.638,230.18,CNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@H]3C)cc2OC)nc2[nH]cc(C(F)(F)F)c12,5.067,0.285,8571.19,low,0.44797098163681687,0.49392712550607293,0.4709490535714449
phase2_7CHM_LIG_142436016,7CHM_LIG,-8.254,1,0,482.52,2.88,2,8,115.74,6.635,231.66,COCCN(C)c1cc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,5.05,0.144,8908.72,moderate,0.5907957379279075,0.48409485251590495,0.5374452952219062
phase2_7CHM_LIG_142436055,7CHM_LIG,-9.159,1,0,480.47,3.9,3,6,85.52,6.616,241.9,CNc1cc(Nc2cc(F)c(C(=O)N3CCN(C)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,5.478,0.229,3325.39,low,0.385626841985944,0.731636784268363,0.5586318131271535
phase2_7CIL_LIG_157996792,7CIL_LIG,-7.521,2,0,271.33,2.09,3,6,83.45,6.614,243.46,CNc1nc(Nc2cnn(C)c2C)nc2[nH]cc(C)c12,4.432,0.034,36986.73,high,0.7569712083427794,0.12666281087333736,0.44181700960805836
phase2_7CHN_LIG_166866572,7CHN_LIG,-9.196,4,1,421.51,3.57,4,8,122.12,6.612,244.16,COc1cc(N2CCC[C@H]2O)ccc1Nc1nc(NCC(C)C)c2c(C#N)c[nH]c2n1,5.065,0.36,8616.86,low,0.3772387213783722,0.4927703875072298,0.435004554442801
phase2_7CHN_LIG_166866574,7CHN_LIG,-9.309,1,0,405.46,3.53,3,7,118.96,6.57,269.39,CCCNc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,4.725,0.246,18849.67,low,0.3516209476309228,0.29612492770387483,0.3238729376673988
phase2_7CHM_LIG_142436034,7CHM_LIG,-10.153,1,0,440.45,4.1,3,6,106.07,6.561,274.86,CNc1cc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,5.52,0.253,3019.82,low,0.16028111539333462,0.7559282822440714,0.45810469881870297
phase2_7CHM_LIG_122490585,7CHM_LIG,-8.883,2,0,400.41,2.36,3,7,104.4,6.56,275.28,CNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,4.946,0.156,11311.2,moderate,0.448197687599184,0.4239444765760553,0.43607108208761963
phase2_7CHN_LIG_155109125,7CHN_LIG,-9.378,1,1,419.49,3.92,3,7,118.96,6.558,276.48,CCCCNc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,4.593,0.139,25518.36,moderate,0.33597823622761264,0.2197802197802197,0.2778792280039162
phase2_7CHM_LIG_146329789,7CHM_LIG,-9.747,3,0,496.59,3.74,3,7,94.75,6.546,284.77,CNc1cc(Nc2cc(F)c(C(=O)N3CCC(N4CCOCC4)CC3)cc2OC)nc2[nH]cc(C)c12,5.207,0.226,6201.63,low,0.25232373611425973,0.5748987854251011,0.4136112607696804
phase2_7CIL_LIG_155022147,7CIL_LIG,-7.706,3,1,282.31,1.66,3,7,107.24,6.545,285.3,CNc1nc(Nc2cnn(C)c2C)nc2[nH]cc(C#N)c12,4.337,0.07,46003.49,high,0.7150306053049194,0.07171775592828204,0.3933741806166007
phase2_7CHN_LIG_155109143,7CHN_LIG,-9.384,1,1,406.49,4.19,3,6,95.17,6.543,286.57,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCC2)c2cc[nH]c2n1,4.765,0.157,17178.49,moderate,0.3346180004534117,0.3192596876807401,0.3269388440670759
phase2_7CHN_LIG_155118890,7CHN_LIG,-9.813,1,1,420.52,4.58,3,6,95.17,6.535,291.54,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCCC2)c2cc[nH]c2n1,4.724,0.165,18900.24,moderate,0.23736114259805008,0.2955465587044535,0.2664538506512518
phase2_7CHM_LIG_146393706,7CHM_LIG,-9.114,2,1,479.43,4.22,2,6,92.37,6.534,292.61,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(C2CC2)c2c(C(F)(F)F)c[nH]c2n1,4.766,0.256,17136.88,low,0.3958286102924504,0.3198380566801619,0.3578333334863062
phase2_7CHN_LIG_155691548,7CHN_LIG,-9.06,4,1,449.52,3.55,3,8,128.19,6.52,302.14,COCC(C)(C)Nc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,4.503,0.175,31382.63,moderate,0.40807073226025825,0.167727009832273,0.28789887104626566
phase2_7CHM_LIG_142436000,7CHM_LIG,-9.272,3,1,434.5,3.48,3,7,115.3,6.513,307.12,CCNc1cc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)cc2OC)nc2[nH]cc(C#N)c12,5.164,0.359,6862.77,low,0.36000906823849455,0.5500289184499708,0.4550189933442327
phase2_7CHM_LIG_146329893,7CHM_LIG,-10.15,1,1,436.49,4.19,3,6,106.07,6.512,307.39,CNc1cc(Nc2ccc(C(=O)N3CCC(C)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,5.558,0.117,2764.09,moderate,0.16096123328043507,0.7779063042220935,0.4694337687512643
phase2_7CHT_LIG_151121021,7CHT_LIG,-9.439,2,0,421.46,3.15,3,8,128.19,6.496,319.09,CCNc1nc(Nc2cc3c(cc2OC)N(C)C(=O)C(C)(C)O3)nc2[nH]cc(C#N)c12,4.365,0.085,43177.68,high,0.32214917252323727,0.08791208791208799,0.20503063021766263
phase2_7CHM_LIG_142416417,7CHM_LIG,-10.081,1,1,441.44,3.49,3,7,118.96,6.495,320.12,CNc1nc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,5.047,0.252,8966.36,low,0.17660394468374518,0.48235974551764,0.32948184510069256
phase2_7CHM_LIG_142436084,7CHM_LIG,-9.228,2,1,420.47,3.09,3,7,115.3,6.486,326.46,CCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,5.044,0.32,9039.81,low,0.3699841305826343,0.48062463851937504,0.42530438455100467
phase2_7CIL_LIG_177211774,7CIL_LIG,-9.146,2,1,348.41,2.54,2,7,98.45,6.476,334.1,CC[C@@]12C[C@@H]1CN(c1nc(Nc3cnn(C)c3)nc3[nH]cc(C#N)c13)C2,4.6,0.119,25116.72,moderate,0.3885740194967125,0.22382880277617093,0.3062014111364417
phase2_7CHN_LIG_166866571,7CHN_LIG,-8.83,4,0,451.53,3.34,4,9,131.35,6.475,334.71,COCC(C)(C)Nc1nc(Nc2ccc(N3CCC[C@H]3O)cc2OC)nc2[nH]cc(C#N)c12,4.69,0.166,20405.78,moderate,0.4602131036046247,0.27588201272411816,0.3680475581643714
phase2_7CHM_LIG_142436018,7CHM_LIG,-9.1,3,1,434.5,3.48,3,7,115.3,6.467,341.52,CCCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,5.25,0.253,5619.52,low,0.399002493765586,0.5997686524002313,0.49938557308290865
phase2_7CHN_LIG_155109132,7CHN_LIG,-9.86,3,1,433.52,4.17,3,7,118.96,6.458,348.24,COc1cc(N2CCCC2=O)ccc1Nc1nc(NCC(C)(C)C)c2c(C#N)c[nH]c2n1,5.044,0.407,9044.65,low,0.22670596236681026,0.48062463851937504,0.35366530044309263
phase2_7CIL_LIG_155022106,7CIL_LIG,-7.688,2,1,282.31,1.66,3,7,107.24,6.446,358.1,CNc1nc(Nc2cn(C)nc2C)nc2[nH]cc(C#N)c12,4.458,0.122,34818.07,moderate,0.7191113126275221,0.14170040485829966,0.43040585874291093
phase2_7CIL_LIG_151591358,7CIL_LIG,-7.855,3,1,282.31,1.74,3,7,107.24,6.445,358.77,CCNc1nc(Nc2cnn(C)c2)nc2[nH]cc(C#N)c12,4.383,0.195,41444.9,moderate,0.6812514169122647,0.09832272990167723,0.38978707340697094
phase2_7CHM_LIG_142436085,7CHM_LIG,-8.082,2,0,450.5,2.72,3,8,124.53,6.44,363.33,COCCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,5.068,0.226,8556.19,low,0.6297891634549986,0.4945054945054942,0.5621473289802463
phase2_7CHM_LIG_142416365,7CHM_LIG,-9.527,1,1,455.47,3.88,3,7,118.96,6.431,370.82,CCNc1nc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,4.942,0.245,11424.75,low,0.30219904783495816,0.42163100057836905,0.3619150242066636
phase2_7CIL_LIG_155928385,7CIL_LIG,-9.079,1,0,351.42,1.89,2,9,113.61,6.421,379.44,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3cnn(C)c3)nc2n1C,4.809,0.288,15521.61,low,0.40376331897528883,0.3447079236552921,0.3742356213152905
phase2_7CIL_LIG_142416409,7CIL_LIG,-7.647,1,0,296.34,2.05,3,7,107.24,6.421,379.73,CCNc1nc(Nc2cnn(C)c2C)nc2[nH]cc(C#N)c12,4.213,0.122,61172.38,moderate,0.7284062570845612,0.0,0.3642031285422806
phase2_7CHN_LIG_155109167,7CHN_LIG,-10.333,4,1,487.53,6.21,3,5,82.28,6.417,382.91,COc1cc(N2CCCC2=O)ccc1Nc1cc(NC2CCCCC2)c2c(C(F)(F)F)c[nH]c2n1,4.85,0.166,14134.67,moderate,0.11947404216730884,0.36842105263157865,0.24394754739944374
phase2_7CHM_LIG_155564829,7CHM_LIG,-9.642,3,1,471.52,3.62,5,7,133.06,6.412,387.67,C=CC(=O)NCc1ccc(Nc2nc(Nc3ccccc3C(=O)NC)c3cc[nH]c3n2)c(OC)c1,4.588,0.138,25804.2,moderate,0.2761278621627749,0.21688837478311163,0.24650811847294327
phase2_7CHN_LIG_155109177,7CHN_LIG,-10.224,2,1,474.49,5.21,3,6,95.17,6.412,387.25,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCC2)c2c(C(F)(F)F)c[nH]c2n1,4.554,0.134,27898.23,moderate,0.14418499206529115,0.19722382880277628,0.17070441043403373
phase2_7CHN_LIG_155109171,7CHN_LIG,-10.138,3,0,488.51,5.6,3,6,95.17,6.406,393.1,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCCC2)c2c(C(F)(F)F)c[nH]c2n1,4.505,0.158,31253.33,moderate,0.1636817048288369,0.16888374783111615,0.16628272632997654
phase2_7CIL_LIG_142416376,7CIL_LIG,-8.311,2,0,335.38,2.38,3,8,131.03,6.376,420.7,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)nc2[nH]cc(C#N)c12,4.51,0.152,30869.92,moderate,0.5778734980729993,0.17177559282822422,0.3748245454506117
phase2_7CHM_LIG_146290574,7CHM_LIG,-8.906,2,0,475.47,4.38,3,6,91.51,6.366,430.77,COc1cc(C(=O)N2CCOCC2)ccc1Nc1cc(NC2CC2)c2c(C(F)(F)F)c[nH]c2n1,4.966,0.238,10810.79,low,0.442983450464747,0.4355118565644882,0.4392476535146176
phase2_7CHM_LIG_117881492,7CHM_LIG,-9.448,1,1,464.46,3.05,3,8,123.28,6.356,440.44,COc1cc(C(=O)NC2COC2)ccc1Nc1nc(OC)c2c(-c3ccnc(F)c3)c[nH]c2n1,4.869,0.222,13527.95,low,0.3201088188619359,0.37941006362058977,0.3497594412412628
phase2_7CHM_LIG_142435998,7CHM_LIG,-9.194,3,1,420.47,3.09,3,7,115.3,6.35,447.11,CNc1cc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)cc2OC)nc2[nH]cc(C#N)c12,5.317,0.289,4822.34,low,0.3776921333031056,0.6385193753614806,0.5081057543322931
phase2_7CHM_LIG_122490584,7CHM_LIG,-9.138,3,1,408.46,2.76,3,7,104.4,6.346,451.19,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(NC2CC2)c2cc[nH]c2n1,4.799,0.26,15867.87,low,0.39038766719564716,0.33892423366107594,0.3646559504283615
phase2_7CHM_LIG_151973166,7CHM_LIG,-9.398,3,0,476.46,3.78,3,7,104.4,6.346,450.58,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(NC2CC2)c2c(C(F)(F)F)c[nH]c2n1,4.587,0.297,25900.83,low,0.33144411698027654,0.21631000578368978,0.27387706138198314
phase2_7CIL_LIG_142416408,7CIL_LIG,-7.556,2,0,296.34,2.05,3,7,107.24,6.34,457.11,CCNc1nc(Nc2cn(C)nc2C)nc2[nH]cc(C#N)c12,4.334,0.163,46366.3,moderate,0.749036499659941,0.06998264893001709,0.40950957429497903
phase2_7CHM_LIG_118286440,7CHM_LIG,-8.814,3,0,415.43,2.72,2,7,101.6,6.322,476.01,CCOc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]ccc12,4.934,0.201,11629.9,low,0.4638403990024937,0.417004048582996,0.44042222379274487
phase2_7CHN_LIG_155119010,7CHN_LIG,-8.828,5,2,418.46,3.13,3,9,125.7,6.321,477.78,COCCNc1nc(Nc2ccc(-n3ccnc3C)cc2OC)nc2[nH]cc(C#N)c12,4.402,0.192,39609.48,moderate,0.46066651552935844,0.10931174089068829,0.28498912821002337
phase2_7CHM_LIG_118286345,7CHM_LIG,-8.812,3,0,428.47,2.64,2,7,95.61,6.306,494.48,CCOc1nc(Nc2cc(F)c(C(=O)N3CCN(C)CC3)cc2OC)nc2[nH]ccc12,5.268,0.245,5393.97,low,0.46429381092722743,0.6101792943898205,0.537236552658524
phase2_7CHM_LIG_142436062,7CHM_LIG,-9.095,2,1,406.45,2.7,3,7,115.3,6.278,527.07,CNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,5.202,0.178,6276.36,moderate,0.40013602357741984,0.5720069404279929,0.4860714820027064
phase2_7CIL_LIG_142416390,7CIL_LIG,-8.84,3,0,369.82,3.11,3,8,131.03,6.261,548.27,CCNc1nc(Nc2cn(C(C)(C)C#N)nc2Cl)nc2[nH]cc(C#N)c12,4.515,0.217,30541.87,low,0.4579460439809566,0.1746674378253323,0.3163067409031445
phase2_7CHM_LIG_117881532,7CHM_LIG,-9.249,3,0,478.48,3.36,3,8,123.28,6.256,554.81,COc1cc(C(=O)NC2COC2)ccc1Nc1nc(OC)c2c(-c3cc(C)nc(F)c3)c[nH]c2n1,4.882,0.221,13122.84,low,0.3652233053729311,0.38692886061307086,0.376076082993001
phase2_7CIL_LIG_142416341,7CIL_LIG,-7.489,2,0,312.34,1.19,4,8,127.47,6.255,556.05,CCNc1nc(Nc2cnn(CCO)c2)nc2[nH]cc(C#N)c12,4.404,0.218,39408.88,low,0.7642257991385173,0.11046847888953142,0.43734713901402433
phase2_7CIL_LIG_142416321,7CIL_LIG,-8.6,2,0,369.82,3.11,3,8,131.03,6.251,560.79,CCNc1nc(Nc2cnn(C(C)(C)C#N)c2Cl)nc2[nH]cc(C#N)c12,4.503,0.178,31414.36,moderate,0.5123554749489911,0.167727009832273,0.34004124239063205
phase2_7CHM_LIG_142436022,7CHM_LIG,-8.546,2,0,463.46,4.24,3,6,91.51,6.231,587.3,CCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.959,0.253,10979.26,low,0.524597596916799,0.4314632735685364,0.4780304352426677
phase2_7CHM_LIG_146393712,7CHM_LIG,-9.283,3,1,460.46,4.68,2,5,79.48,6.22,602.45,COc1cc(C(=O)N2CCOCC2)ccc1Nc1cc(C2CC2)c2c(C(F)(F)F)c[nH]c2n1,5.075,0.217,8407.78,low,0.3575153026524598,0.498554077501446,0.4280346900769529
phase2_7CHM_LIG_146393637,7CHM_LIG,-6.956,1,1,439.49,3.98,2,6,92.37,6.214,610.53,COc1cc(C(=O)N2CCCCOCC2)ccc1Nc1nc(C2CC2)c2c(F)c[nH]c2n1,5.082,0.244,8286.45,low,0.8850600770800271,0.5026026604973972,0.6938313687887121
phase2_7CHN_LIG_155109155,7CHN_LIG,-9.063,4,1,420.4,3.9,3,6,95.17,6.202,627.72,CNc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.596,0.092,25367.8,high,0.40739061437315777,0.22151532677848468,0.3144529705758212
phase2_7CHM_LIG_150071746,7CHM_LIG,-9.37,2,1,451.44,4.13,3,7,118.96,6.2,630.66,CCNc1nc(Nc2ccc(C(=O)N3C=CC(F)(F)C=C3)cc2OC)nc2[nH]cc(C#N)c12,4.464,0.079,34355.84,high,0.33779188392654735,0.14517061885482957,0.24148125139068846
phase2_7CHM_LIG_148534597,7CHM_LIG,-8.777,3,1,489.5,3.69,3,7,98.41,6.2,631.54,COc1cc(C(=O)N2CCN(C)CC2)ccc1Nc1nc(NC2CC2)c2c(C(F)(F)F)c[nH]c2n1,4.975,0.153,10601.86,moderate,0.47222851961006584,0.4407171775592825,0.4564728485846742
phase2_7CHM_LIG_118286394,7CHM_LIG,-9.52,2,1,438.46,3.55,2,7,116.16,6.194,640.06,CCOc1nc(Nc2ccc(C(=O)N3CCC(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,5.235,0.252,5822.68,low,0.30378598957152575,0.591093117408907,0.44743955349021636
phase2_7CHM_LIG_117881533,7CHM_LIG,-9.725,4,0,464.5,4.4,2,7,105.26,6.194,639.92,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC(C)C)c2c(-c3ccnc(F)c3)c[nH]c2n1,4.702,0.225,19845.35,low,0.2573112672863296,0.2828224407171775,0.27006685400175356
phase2_7CHM_LIG_146393636,7CHM_LIG,-9.105,1,1,411.44,3.2,2,6,92.37,6.192,642.99,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(C2CC2)c2c(F)c[nH]c2n1,5.062,0.303,8669.93,low,0.3978689639537518,0.49103528050896483,0.4444521222313583
phase2_7CHM_LIG_155548752,7CHM_LIG,-9.616,3,0,473.54,3.84,5,7,133.06,6.161,689.85,CCC(=O)NCc1ccc(Nc2nc(Nc3ccccc3C(=O)NC)c3cc[nH]c3n2)c(OC)c1,4.623,0.158,23815.22,moderate,0.2820222171843119,0.2371312897628688,0.2595767534735903
phase2_7CHM_LIG_142436060,7CHM_LIG,-8.476,5,2,493.49,3.86,3,7,100.74,6.159,693.34,COCCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.982,0.121,10413.86,moderate,0.5404670142824753,0.4447657605552343,0.49261638741885483
phase2_7CHM_LIG_155022157,7CHM_LIG,-8.882,2,0,484.43,4.64,3,6,95.17,6.134,734.73,CNc1nc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,5.022,0.257,9515.17,low,0.44842439356155067,0.4679005205320996,0.4581624570468251
phase2_7CHM_LIG_57383019,7CHM_LIG,-8.605,1,0,464.57,2.38,2,7,95.61,6.125,750.72,Cc1c[nH]c2ncnc(N3CCC(NC(=O)c4cccc(OCCN5CCOCC5)c4)CC3)c12,4.811,0.223,15460.51,low,0.5112219451371569,0.34586466165413526,0.42854330339564606
phase2_7CHM_LIG_142416343,7CHM_LIG,-9.414,3,0,498.46,5.03,3,6,95.17,6.092,809.15,CCNc1nc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.87,0.255,13491.58,low,0.3278168215824076,0.3799884326200116,0.35390262710120957
phase2_7CHM_LIG_117884097,7CHM_LIG,-9.946,3,0,458.52,4.45,3,7,114.05,6.083,825.95,CNC(=O)c1ccc(Nc2nc(OC3CCCC3)c3c(-c4ccncc4)c[nH]c3n2)c(OC)c1,4.73,0.079,18631.48,high,0.2072092496032645,0.2990167727009834,0.253113011152124
phase2_7CHM_LIG_146393608,7CHM_LIG,-8.996,3,0,461.44,4.08,2,6,92.37,6.076,840.08,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(C2CC2)c2c(C(F)(F)F)c[nH]c2n1,4.784,0.253,16449.2,low,0.4225799138517341,0.33024869866975115,0.3764143062607426
phase2_7CHM_LIG_118286352,7CHM_LIG,-8.927,1,0,425.49,3.36,2,7,101.6,6.023,948.65,CCOc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(C)C)nc2[nH]ccc12,4.982,0.31,10431.16,low,0.4382226252550442,0.4447657605552343,0.44149419290513925
phase2_7CHM_LIG_155022056,7CHM_LIG,-9.121,3,1,464.45,3.63,3,7,104.4,6.011,975.82,CNc1nc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.852,0.253,14064.33,low,0.39424166855588283,0.36957779063042234,0.3819097295931526
phase2_7CHM_LIG_122490578,7CHM_LIG,-9.374,4,1,452.52,2.77,3,8,113.63,6.005,987.5,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(NC[C@H]2CCCO2)c2cc[nH]c2n1,4.937,0.212,11558.03,low,0.3368850600770798,0.41873915558126096,0.3778121078291704
phase2_7CHM_LIG_155532159,7CHM_LIG,-7.976,1,0,369.43,3.2,2,6,92.37,6.004,990.87,COc1cc(C(=O)N(C)C)ccc1Nc1nc(OC(C)C)c2cc[nH]c2n1,4.695,0.206,20206.61,low,0.6538199954658807,0.27877385772122626,0.4662969265935535
phase2_7CHM_LIG_142436036,7CHM_LIG,-8.928,2,0,462.48,3.76,3,6,85.52,6.004,990.91,CNc1cc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,5.567,0.21,2709.59,low,0.4379959192926771,0.7831116252168884,0.6105537722547827
phase2_7CHM_LIG_142416414,7CHM_LIG,-8.605,2,1,478.48,4.02,3,7,104.4,6.0,999.07,CCNc1nc(Nc2ccc(C(=O)N3CCO[C@H](C)C3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.401,0.245,39715.85,low,0.5112219451371569,0.10873337189126646,0.30997765851421166
phase2_7CHM_LIG_142416349,7CHM_LIG,-9.149,4,0,478.48,4.02,3,7,104.4,6.0,999.07,CCNc1nc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.696,0.276,20138.02,low,0.38789390160961246,0.2793522267206476,0.33362306416513
phase2_7CHM_LIG_155012434,7CHM_LIG,-9.158,2,0,478.48,4.02,3,7,104.4,6.0,999.07,CCNc1nc(Nc2ccc(C(=O)N3CCO[C@@H](C)C3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,4.696,0.276,20138.03,low,0.38585354794831106,0.2793522267206476,0.3326028873344793
phase2_7CHM_LIG_155554448,7CHM_LIG,-9.75,2,0,439.52,3.75,2,7,101.6,5.993,1015.7,COc1cc(C(=O)N(C)C)ccc1Nc1nc(O[C@H]2CCOC(C)(C)C2)c2cc[nH]c2n1,4.649,0.329,22428.9,low,0.25164361822715925,0.2521688837478311,0.2519062509874952
phase2_7CHM_LIG_77846657,7CHM_LIG,-10.314,2,0,457.53,5.06,3,6,101.16,5.987,1030.16,CNC(=O)c1ccc(Nc2nc(OC3CCCC3)c3c(-c4ccccc4)c[nH]c3n2)c(OC)c1,4.707,0.07,19650.17,high,0.12378145545227827,0.2857142857142856,0.20474787058328192
