ligand,affinity_kcal
zinc_div_0277,-8.943
zinc_div_0276,-8.862
zinc_div_0310,-8.685
zinc_div_0555,-8.656
zinc_div_0357,-8.476
zinc_div_0300,-8.422
zinc_div_0340,-8.353
zinc_div_0866,-8.218
zinc_div_0295,-8.184
zinc_div_0100,-8.17
zinc_div_0325,-8.153
zinc_div_0840,-8.138
zinc_div_0303,-8.044
zinc_div_0389,-8.039
zinc_div_0331,-8.004
zinc_div_0967,-8.004
zinc_div_0622,-7.991
zinc_div_0731,-7.985
zinc_div_0352,-7.972
zinc_div_0374,-7.803
