ligand,affinity_kcal,chembl_id,tanimoto,IC50_nM,pIC50,smiles
2ZMD_537,-9.449,CHEMBL7064,1.0,1050.0,5.979,O=C1c2ccccc2-c2n[nH]c3cccc1c23
5NTT_LIG,-8.952,CHEMBL3666778,0.58,3761.0,5.425,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(=O)N[C@H](CN)c3ccccc3)nn1C)CCC2
2X9E_NMS,-8.952,CHEMBL3666778,0.58,3761.0,5.425,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(=O)N[C@H](CN)c3ccccc3)nn1C)CCC2
5N87_LIG,-8.862,CHEMBL3666767,0.478,5913.0,5.228,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CCC2
5MRB_LIG,-8.548,CHEMBL3666767,0.5,5913.0,5.228,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CCC2
