pdb_id,ligand_id,ligand_name,cid,status
6B4W,CQ7,"4-{[4-(cyclopentyloxy)-5-(2-methyl-1,3-benzoxazol-6-yl)-7H-pyrrolo[2,3-d]pyrimidin-2-yl]amino}-3-methoxy-N-methylbenzamide",117881270.0,success
6H3K,FMW,"~{N}8-(2,2-dimethylpropyl)-~{N}2-[2-ethoxy-4-(4-methyl-1,2,4-triazol-3-yl)phenyl]-6-methyl-pyrido[3,4-d]pyrimidine-2,8-diamine",73386890.0,success
6N6O,KE7,"4-({5-chloro-4-[(cis-4-hydroxy-4-methylcyclohexyl)oxy]-7H-pyrrolo[2,3-d]pyrimidin-2-yl}amino)-N,N-dimethyl-3-{[(2R)-1,1,1-trifluoropropan-2-yl]oxy}benzamide",138320062.0,success
6TN9,NN5,"[4-[[6-(3,5-dimethyl-4-oxidanyl-phenyl)-[1,2,4]triazolo[1,5-a]pyridin-2-yl]amino]phenyl]-morpholin-4-yl-methanone",146035560.0,success
6TNB,8QW,"(2~{R})-2-(4-fluorophenyl)-N-[4-[2-[(2-methoxy-4-methylsulfonyl-phenyl)amino]-[1,2,4]triazolo[1,5-a]pyridin-6-yl]phenyl]propanamide",127021011.0,success
6TNC,O23,"N-cyclopropyl-4-{8-[(thiophen-2-ylmethyl)amino]imidazo[1,2-a]pyrazin-3-yl}benzamide",57382314.0,success
6TND,8RH,BAY 1217389,78320750.0,success
7CHM,FZF,"4-(cyclohexylamino)-2-[(2-methoxy-4-morpholin-4-ylcarbonyl-phenyl)amino]-7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",155907519.0,success
7CHN,FZL,"4-(cyclohexylamino)-2-[[2-methoxy-4-(2-oxidanylidenepyrrolidin-1-yl)phenyl]amino]-7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",155118903.0,success
7CHT,FZO,"2-[[2-methoxy-4-(2-oxidanylidenepyrrolidin-1-yl)phenyl]amino]-4-(oxan-4-ylamino)-7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",155118974.0,success
7CIL,FZR,"4-(cyclohexylamino)-2-[(1-methylpyrazol-4-yl)amino]-7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",155907520.0,success
7CJA,G0U,"4-(cyclopentylmethylamino)-2-[[2-methoxy-4-(2-oxidanylidenepyrrolidin-1-yl)phenyl]amino]-7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",155118973.0,success
7CLH,G5C,"2-[[2-methoxy-4-(2-oxidanylidenepyrrolidin-1-yl)phenyl]amino]-4-(methylamino)-7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",155109148.0,success
7LQD,YB4,"N-(2,6-diethylphenyl)-2-[[4-(4-methylpiperazin-1-yl)-2-(propanoylamino)phenyl]amino]-5,6-dihydropyrimido[4,5-e]indolizine-7-carboxamide",162624742.0,success
