assay_chembl_id,canonical_smiles,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,IC50_nM,pIC50
CHEMBL3396420,CS(=O)(=O)c1ccc(-c2ccc3[nH]nc(-c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2)c(F)c1,CHEMBL3392976,CHEMBL3393719,nM,1.5,nM,1.5,1.5,8.823908740944319
CHEMBL3396420,CS(=O)(=O)Nc1ccc(-c2ccc3[nH]nc(-c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2)c(F)c1,CHEMBL3392976,CHEMBL3393720,nM,0.6,nM,0.6,0.6,9.221848749616356
CHEMBL3396420,Fc1cccc(F)c1-c1ccc2[nH]nc(-c3cncc(N4CCCCC4)n3)c2c1,CHEMBL3392976,CHEMBL3393721,nM,3000.0,nM,3000.0,3000.0,5.522878745280337
CHEMBL3396420,NC1CCCN(c2cncc(-c3n[nH]c4ccc(-c5c(F)cccc5F)cc34)n2)C1,CHEMBL3392976,CHEMBL3393722,nM,70.0,nM,70.0,70.0,7.154901959985743
CHEMBL3395659,Nc1ncc(-c2ccc3[nH]nc(-c4cnc5ccccc5c4)c3c2)s1,CHEMBL3393014,CHEMBL3394059,nM,31.0,uM,0.031,31.0,7.508638306165727
CHEMBL3395659,Nc1ncc(-c2ccc3[nH]cc(-c4cnc5ccccc5c4)c3c2)s1,CHEMBL3393014,CHEMBL3394060,nM,2710.0,uM,2.71,2710.0,5.567030709125595
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cnc5ccccc5c4)c3c2)s1,CHEMBL3393014,CHEMBL3394061,nM,1010.0,uM,1.01,1010.0,5.995678626217358
CHEMBL3395659,CNc1nnc(-c2ccc3[nH]cc(-c4cnc5ccccc5c4)c3c2)s1,CHEMBL3393014,CHEMBL3394062,nM,1630.0,uM,1.63,1630.0,5.787812395596042
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4c(F)cccc4F)c3c2)s1,CHEMBL3393014,CHEMBL3394064,nM,348.0,uM,0.348,348.0,6.458420756053419
CHEMBL3395659,Nc1cccc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394065,nM,977.0,uM,0.977,977.0,6.0101054362812265
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394066,nM,104.0,uM,0.104,104.0,6.982966660701219
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCOCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394067,nM,59.0,uM,0.059,59.0,7.229147988357855
CHEMBL3395659,CC(C)Nc1cccc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394068,nM,37.0,uM,0.037,37.0,7.431798275933005
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(NC5CCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394069,nM,21.0,uM,0.021,21.0,7.6777807052660805
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(NC5CCCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394070,nM,227.0,uM,0.227,227.0,6.6439741428068775
CHEMBL3395659,Nc1cncc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394071,nM,192.0,uM,0.192,192.0,6.716698771296451
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(N5CCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394072,nM,42.0,uM,0.042,42.0,7.376750709602099
CHEMBL3395659,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(N5CCOCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394073,nM,12.0,uM,0.012,12.0,7.920818753952375
CHEMBL3395659,CC(C)Nc1cncc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394074,nM,10.0,uM,0.01,10.0,8.0
