smiles,pIC50,IC50_nM,source,activity_type,chembl_id,MW,LogP,HBD,HBA
c1ccc(-c2ccc3[nH]nc(-c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2)cc1,8.366531544420413,4.3,ChEMBL_IC50,IC50,,397.48,4.21,2,5
CC1CNC(=O)c2cc(-c3cccc4ncc(Nc5ccccc5)nc34)[nH]c21,8.366531544420413,4.3,ChEMBL_IC50,IC50,,369.43,4.22,3,4
c1cc(C2CC2)nc(-c2c[nH]c3ccc(-c4nnc(C5CC5)o4)cc23)n1,8.364817951343733,4.317,ChEMBL_IC50,IC50,,343.39,4.43,1,5
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1N[C@H](C)C(F)(F)F,8.364516253185087,4.32,ChEMBL_IC50,IC50,,389.38,3.58,3,4
CN[C@H]1CCCN(c2c(NC(=O)c3nc(-c4c(F)cccc4F)sc3N)cnn2C)CC1,8.36,4.3651583224016655,ChEMBL,Ki,CHEMBL3652645,461.54,3.23,3,8
CN(c1ccccc1)c1cnc2cccc(-c3cc4c([nH]3)CCNC4=O)c2n1,8.356547323513812,4.4,ChEMBL_IC50,IC50,,369.43,3.68,2,4
COc1cc(F)c(-c2nc(C(=O)Nc3cnccc3[C@H]3C[C@@H](N)[C@@H](n4ccnn4)[C@@H](C)C3)ccc2F)c(F)c1,8.354577730650908,4.42,ChEMBL_IC50,IC50,,537.55,4.5,2,8
N[C@@H]1CCCN(c2cccc(-n3ncc4cnc(-c5cncs5)cc43)n2)C1,8.35,4.4668359215096345,ChEMBL,Ki,CHEMBL4106584,377.48,2.87,1,8
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1CCCCC1O,8.346787486224656,4.5,ChEMBL_IC50,IC50,,391.48,2.93,4,5
Cc1nc2cccc(-c3cc4c([nH]3)[C@H](C)NC4=O)c2nc1NCC(F)F,8.34008379993015,4.57,ChEMBL_IC50,IC50,,357.36,3.41,3,4
CCc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNC[C@@H](O)C3)n2)c1,8.34,4.570881896148752,ChEMBL,Ki,CHEMBL4111637,415.5,2.21,2,8
CCn1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CCC[C@H](N)C3)n2)cn1,8.34,4.570881896148752,ChEMBL,Ki,CHEMBL3963946,388.48,2.63,1,8
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(C3CCNCC3)n2)n1,8.34,4.570881896148752,ChEMBL,Ki,CHEMBL3931279,371.45,3.05,1,7
N[C@@H]1CCC[C@@H](Nc2ccc3cccc(-c4cc5c([nH]4)CCNC5=O)c3n2)C1,8.337242168318426,4.6,ChEMBL_IC50,IC50,,375.48,3.2,4,4
O=C1NCCc2[nH]c(-c3cccc4ccc(Oc5cccnc5)nc34)cc21,8.337242168318426,4.6,ChEMBL_IC50,IC50,,356.39,3.7,2,4
O=C1NCCc2[nH]c(-c3cccc4ccc(Nc5ccccc5F)nc34)cc21,8.337242168318426,4.6,ChEMBL_IC50,IC50,,372.4,4.4,3,3
CC(C)Nc1nnc(-c2ccc3[nH]cc(-c4ccnc(C5CC5)n4)c3c2)o1,8.332547047110046,4.65,ChEMBL_IC50,IC50,,360.42,4.37,2,6
Cc1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCNCC3)n2)sn1,8.33,4.677351412871981,ChEMBL,Ki,CHEMBL3985111,391.5,3.05,1,8
OCC(O)c1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,8.33,4.677351412871981,ChEMBL,Ki,CHEMBL3933868,418.46,0.71,3,10
O[C@@H]1CNCCN(c2cccc(-n3ncc4cnc(-c5cnn(CC(F)(F)F)c5)cc43)n2)C1,8.33,4.677351412871981,ChEMBL,Ki,CHEMBL4113332,458.45,2.01,2,9
C[C@H]1CN(c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)sc2N)C[C@@H](N)[C@H]1C#N,8.329754146925875,4.68,ChEMBL_IC50,IC50,,469.52,3.24,3,8
C=C(C)CNc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2nc1C,8.327902142064282,4.7,ChEMBL_IC50,IC50,,347.42,3.21,3,4
O=C1NCCc2[nH]c(-c3cccc4ccc(Oc5c(F)cccc5F)nc34)cc21,8.327902142064282,4.7,ChEMBL_IC50,IC50,,391.38,4.59,2,3
CO[C@@H]1[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H]1C,8.326979092871104,4.71,ChEMBL_IC50,IC50,,470.5,4.67,2,5
Nc1nnc(-c2ccc3[nH]cc(-c4cncc(N5CCCCC5)n4)c3c2)o1,8.321937095025655,4.765,ChEMBL_IC50,IC50,,361.41,3.25,2,7
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CC[C@@H](N)C3)n2)n1,8.32,4.7863009232263805,ChEMBL,Ki,CHEMBL4111423,372.44,2.12,1,8
C[C@H]1CCCN(c2ccnc(-c3c[nH]c4ccc(-c5nnc(N)o5)cc34)n2)C1,8.318125877871353,4.807,ChEMBL_IC50,IC50,,375.44,3.49,2,7
CO/N=C1\[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H]1C,8.31695296176115,4.82,ChEMBL_IC50,IC50,,483.49,4.66,2,6
Nc1nnc(-c2ccc3[nH]cc(-c4cncc(C5CC5)n4)c3c2)o1,8.314347815884476,4.849,ChEMBL_IC50,IC50,,318.34,3.13,2,6
O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NCC3(F)CCNCC3)nc12,8.31,4.897788193684456,ChEMBL,Ki,CHEMBL2387462,408.44,2.36,4,7
CC(C)(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2nc1N,8.309803919971486,4.9,ChEMBL_IC50,IC50,,350.43,2.7,4,5
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(CC(C)(C)C)nc34)[nH]c21,8.309803919971486,4.9,ChEMBL_IC50,IC50,,364.45,3.32,2,4
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1CCCCC1,8.309803919971486,4.9,ChEMBL_IC50,IC50,,375.48,3.96,3,4
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)C,8.309803919971486,4.9,ChEMBL_IC50,IC50,,335.41,3.04,3,4
CN1CCCN(C(=O)c2ccc(F)c(-c3ccc(/C=C4/C(=O)Nc5ccc(Cl)cc54)o3)c2)CC1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,479.94,5.01,1,4
C#Cc1cccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)c1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,367.44,4.96,2,5
Fc1cccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)c1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,361.41,5.12,2,5
N[C@H]1CCCN(c2c(/C=C3\SC(=O)NC3=O)cccc2-c2ccccc2)C1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,379.49,3.61,2,5
C[C@H]1CN(c2ccncc2NC(=O)c2cccc(-c3ccccc3F)n2)C[C@@H](N)[C@@H]1O,8.301029995663981,5.0,ChEMBL_IC50,IC50,,421.48,2.68,3,6
COc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C,8.301029995663981,5.0,ChEMBL_IC50,IC50,,365.44,3.13,3,5
N[C@@H]1CCCN(c2c(Cl)cccc2/C=C2\SC(=O)NC2=O)C1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,337.83,2.59,2,5
COc1cccc(/C=C2\SC(=O)NC2=O)c1N1CCC[C@@H](N)C1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,333.41,1.95,2,6
N[C@@H]1CCCN(c2c(/C=C3\SC(=O)NC3=O)cccc2-c2ccccc2)C1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,379.49,3.61,2,5
C[C@@H]1CCCN(c2c(/C=C3\SC(=O)NC3=O)cccc2-c2ccccc2)C1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,378.5,4.91,1,4
N[C@H]1CCC[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,426.44,4.8,2,4
C[C@@H]1C[C@@H](c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)ccc2N)C[C@@H](N)[C@H]1O,8.301029995663981,5.0,ChEMBL_IC50,IC50,,453.49,3.46,4,6
C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)[C@H]1F,8.301029995663981,5.0,ChEMBL_IC50,IC50,,458.46,4.99,2,4
C[C@@H]1C[C@H](O)C[C@H](c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)sc2N)C1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,444.51,4.58,3,6
N[C@@H]1C[C@H](c2ccncc2NC(=O)c2ccc(F)c(C3CCCCC3)n2)C[C@H](C(F)(F)F)C1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,464.51,5.69,2,4
C[C@H]1C[C@@H](c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)c(F)cc2N)C[C@@H](N)[C@H]1O,8.301029995663981,5.0,ChEMBL_IC50,IC50,,471.48,3.6,4,6
COC[C@@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(NC(C)(C)C)nc34)[nH]c21,8.301029995663981,5.0,ChEMBL_IC50,IC50,,395.46,2.57,3,6
Fc1ccncc1-c1ccc2[nH]nc(-c3cncc(O[C@H]4CNCCC45CC5)n3)c2c1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,416.46,3.74,2,6
Cc1ccc(F)c(-c2nc(C(=O)Nc3cnccc3[C@H]3C[C@@H](N)CC(C)(C)C3)ccc2F)c1F,8.301029995663981,5.0,ChEMBL_IC50,IC50,,468.52,5.74,2,4
C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3cccc(F)c3F)n2)C1,8.301029995663981,5.0,ChEMBL_IC50,IC50,,440.47,5.04,2,4
CC(C)CNC(=O)c1cccc2c1nc(Nc1ccccc1Cl)c1ccncc12,8.301029995663981,5.0,ChEMBL_IC50,IC50,,404.9,5.57,2,4
CNC(=O)c1cccc2c1nc(Nc1cccc(OC)c1Cl)c1ccncc12,8.301029995663981,5.0,ChEMBL_IC50,IC50,,392.85,4.55,2,5
C[C@@H]1C[C@H](c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)ccc2N)C[C@H](N)[C@H]1O,8.301029995663981,5.0,ChEMBL_IC50,IC50,,453.49,3.46,4,6
CN(C)Cc1nc2c(sc3ccc(N4CCCC4)cc32)c(=O)[nH]1,8.3,5.011872336272715,ChEMBL,Ki,CHEMBL573957,328.44,2.8,1,5
CN(C)Cc1nc2c(sc3ccc(-c4ccc(O)c(F)c4)cc32)c(=O)[nH]1,8.3,5.011872336272715,ChEMBL,Ki,CHEMBL572514,369.42,3.71,2,5
Cn1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCNCC3)n2)cn1,8.3,5.011872336272715,ChEMBL,Ki,CHEMBL3892509,374.45,2.02,1,8
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCCNCC1,8.3,5.011872336272715,ChEMBL,Ki,CHEMBL4458081,433.49,2.46,3,8
COCCC#Cc1c(Cl)c2c(Cl)cc(C(N)=O)nc2n1[C@H]1CCCNC1,8.292429823902063,5.1,ChEMBL_IC50,IC50,,395.29,2.75,2,5
FC(F)(F)Cn1cc(-c2cc3c(cn2)cnn3-c2ccnc(N3CCCNCC3)n2)cn1,8.29,5.128613839913658,ChEMBL,Ki,CHEMBL3939262,443.44,2.44,1,9
CC(C)NC(=O)c1ccc(F)c(-c2ccc(N)c(C(=O)Nc3cnccc3N3C[C@@H](N)[C@@H](n4ccnn4)[C@@H](C)C3)n2)c1,8.288192770958808,5.15,ChEMBL_IC50,IC50,,572.65,2.87,4,10
CC(C)Oc1cncc(-c2c[nH]c3ccc(-c4nnc(N)o4)cc23)n1,8.285921835018144,5.177,ChEMBL_IC50,IC50,,336.36,3.04,2,7
COC(=O)N[C@@H]1[C@H](N)C[C@H](c2ccncc2NC(=O)c2nc(-c3cc(C(=O)NC(C)C)ccc3F)ccc2N)C[C@@H]1C,8.284832642151542,5.19,ChEMBL_IC50,IC50,,577.66,3.82,5,8
C[C@H]1NC(=O)c2cc(-c3cccc4c3N=C(NC(C)(C)C)N(C)S4(=O)=O)[nH]c21,8.2839966563652,5.2,ChEMBL_IC50,IC50,,401.49,2.5,3,5
O=C1NCCc2[nH]c(-c3cccc4ccc(Nc5c(F)cccc5Cl)nc34)cc21,8.2839966563652,5.2,ChEMBL_IC50,IC50,,406.85,5.05,3,3
C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)[C@H]1n1cc(C(C)(C)O)nn1,8.278189384787453,5.27,ChEMBL_IC50,IC50,,565.6,4.71,3,8
CN(C)C(=O)c1ccc(F)c(-c2ccc3cnc(Nc4cnccc4N4CCC[C@H](N)C4)n3n2)c1,8.275724130399212,5.3,ChEMBL_IC50,IC50,,474.54,3.3,2,8
CC1(C)CNCCN1c1cnc2cccc(-c3cc4c([nH]3)CCNC4=O)c2n1,8.275724130399212,5.3,ChEMBL_IC50,IC50,,376.46,2.1,3,5
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1N[C@@H]1CC[C@H](N)C1,8.275724130399212,5.3,ChEMBL_IC50,IC50,,376.46,2.51,4,5
COCCOc1cc(F)c(-c2nc(C(=O)Nc3cnccc3[C@H]3C[C@@H](N)[C@@H](n4ccnn4)[C@@H](C)C3)ccc2F)c(F)c1,8.27490547891853,5.31,ChEMBL_IC50,IC50,,581.6,4.51,2,9
OCCn1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCNCC3)n2)cn1,8.27,5.370317963702533,ChEMBL,Ki,CHEMBL3980111,404.48,1.47,2,9
c1cc(-c2n[nH]c3cnc(-n4ccnc4)cc23)nc(N2CCNCC2)c1,8.27,5.370317963702533,ChEMBL,Ki,CHEMBL3634773,346.4,1.62,2,7
COCC(C)(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2nc1C,8.267606240177031,5.4,ChEMBL_IC50,IC50,,379.46,3.06,3,5
C[C@H]1[C@H](N)CCCN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,8.267606240177031,5.4,ChEMBL_IC50,IC50,,435.48,4.13,2,7
C[C@H]1[C@@H](N)CCCN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,8.267606240177031,5.4,ChEMBL_IC50,IC50,,435.48,4.13,2,7
CC(C)Oc1cccc(-c2c[nH]c3ccc(-c4nnc(N)o4)cc23)n1,8.262966468666122,5.458,ChEMBL_IC50,IC50,,335.37,3.65,2,6
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(C3(O)CCCNC3)n2)n1,8.26,5.4954087385762485,ChEMBL,Ki,CHEMBL3974800,387.45,2.15,2,8
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1CCCC1,8.259637310505756,5.5,ChEMBL_IC50,IC50,,361.45,3.57,3,4
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1(C)CCOCC1,8.2518119729938,5.6,ChEMBL_IC50,IC50,,391.48,3.2,3,5
CNc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C,8.251037138743838,5.61,ChEMBL_IC50,IC50,,364.45,3.16,4,5
CC1(C#Cc2c(Cl)c3c(Cl)cc(C(N)=O)nc3n2[C@H]2CCCNC2)COC1,8.244125144327509,5.7,ChEMBL_IC50,IC50,,407.3,2.75,2,5
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1(C)COC1,8.244125144327509,5.7,ChEMBL_IC50,IC50,,363.42,2.42,3,5
Clc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,8.24,5.754399373371567,ChEMBL,Ki,CHEMBL3946306,392.85,2.34,1,8
CCOCc1cc(F)c(-c2nc(C(=O)Nc3cnccc3[C@H]3C[C@@H](N)[C@@H](S(C)(=O)=O)[C@@H](C)C3)ccc2F)c(F)c1,8.23807216157947,5.78,ChEMBL_IC50,IC50,,576.64,4.6,2,7
Cc1nc2cccc(-c3cc4c(=O)[nH]cnc4[nH]3)c2nc1NC(C)(C)CO,8.236572006437063,5.8,ChEMBL_IC50,IC50,,364.41,2.35,4,6
c1cc2[nH]cc(-c3cncc(C4CC4)n3)c2cc1-c1nnc(NC2COC2)o1,8.233438447362468,5.842,ChEMBL_IC50,IC50,,374.4,3.36,2,7
CC(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2c(=O)n1-c1ccccc1,8.231361898752386,5.87,ChEMBL_IC50,IC50,,413.48,3.49,3,5
O=C(Nc1c[nH]c2ncccc12)c1cnn2ccc(NC[C@H]3CCNC[C@@H]3F)nc12,8.23,5.888436553555884,ChEMBL,Ki,CHEMBL2387478,408.44,2.22,4,7
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1CNC1,8.229147988357855,5.9,ChEMBL_IC50,IC50,,348.41,1.6,4,5
C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C4(O)CCOCC4)cc3F)n2)C[C@@H](N)[C@H]1S(C)(=O)=O,8.226945306635738,5.93,ChEMBL_IC50,IC50,,618.68,4.07,3,8
CCN(c1ccccc1)c1ccc2cccc(-c3cc4c([nH]3)CCNC4=O)c2n1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,382.47,4.67,2,3
Cc1ccc(-c2cncc(NCCN(C)C)n2)cc1CC1SC(=O)NC1=O,8.221848749616356,6.0,ChEMBL_IC50,IC50,,385.49,2.32,2,7
Clc1ccccc1Nc1nc2c(-c3nnc[nH]3)cccc2c2ccsc12,8.221848749616356,6.0,ChEMBL_IC50,IC50,,377.86,5.63,2,5
COc1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)cc1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,373.44,4.99,2,6
CC1CC(c2ccncc2NC(=O)c2nc(-c3c(F)cccc3F)ccc2N)=CC(O)C1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,436.46,4.43,3,5
NC(=O)c1cc(Cl)c2c(Cl)c(I)n(C3CCC(N)CC3)c2n1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,453.11,3.49,2,4
Cc1cn([C@@H](C)[C@H]2CCNC[C@H]2F)c2nc(C(N)=O)cc(Cl)c12,8.221848749616356,6.0,ChEMBL_IC50,IC50,,338.81,2.61,2,4
NC(=O)c1cc(Cl)c2c(Cl)c(I)n(C3CCCNC3)c2n1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,439.08,2.97,2,4
Nc1nnc(-c2ccc3[nH]cc(-c4cncc(NC5CCCC5)n4)c3c2)s1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,377.48,4.08,3,7
NC(=O)c1cc(Cl)c2c(Cl)c(C#CC3CC3)n(C3CCCNC3)c2n1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,377.28,3.13,2,4
NC(=O)c1cc(Cl)c2c(Cl)c(C3CC3)n([C@H]3CCCNC3)c2n1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,353.25,3.24,2,4
Fc1cnccc1-c1ccc2[nH]nc(-c3cncc(O[C@H]4CNCCC45CC5)n3)c2c1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,416.46,3.74,2,6
Cc1cn([C@@H](C)[C@]2(F)CCNC2)c2nc(C(N)=O)cc(Cl)c12,8.221848749616356,6.0,ChEMBL_IC50,IC50,,324.79,2.36,2,4
Fc1cccc(F)c1-c1ccc2[nH]nc(-c3cncc(NC4CCNCC4)n3)c2c1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,406.44,4.13,3,5
Clc1cccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)c1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,377.86,5.63,2,5
Cc1cc2c(Nc3ccccc3F)nc3c(-c4nnc[nH]4)cccc3c2s1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,375.43,5.43,2,5
Fc1cccnc1-c1ccc2[nH]nc(-c3cncc(O[C@H]4CNCCC45CC5)n3)c2c1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,416.46,3.74,2,6
C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3cc(F)ccc3F)n2)C1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,440.47,5.04,2,4
C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2cccc(-c3cc(O)ccc3F)n2)C1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,420.49,4.47,3,5
Clc1ccccc1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,8.221848749616356,6.0,ChEMBL_IC50,IC50,,372.82,4.97,2,5
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1N[C@H]1C[C@@H](N2CCOCC2)C1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,432.53,2.49,3,6
C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2nc(-c3cc(O)ccc3F)ccc2F)C1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,438.48,4.61,3,5
Fc1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3cnccc23)c(F)c1,8.221848749616356,6.0,ChEMBL_IC50,IC50,,374.35,4.59,2,5
Cc1ccccc1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,8.221848749616356,6.0,ChEMBL_IC50,IC50,,352.4,4.62,2,5
C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](O)[C@@H]1O,8.221848749616356,6.0,ChEMBL_IC50,IC50,,457.45,4.05,3,5
Cc1nc2cccc(-c3cc4c([nH]3)[C@H](C)NC4=O)c2nc1NCC(F)(F)F,8.220403508742175,6.02,ChEMBL_IC50,IC50,,375.35,3.71,3,4
CN(C)Cc1nc2c(sc3ccc(-c4ccoc4)cc32)c(=O)[nH]1,8.22,6.025595860743569,ChEMBL,Ki,CHEMBL572784,325.39,3.46,1,5
Nc1ccc(-c2ccncc2)nc1C(=O)Nc1cnccc1N1CCC[C@H](N)C1,8.22,6.025595860743569,ChEMBL,Ki,CHEMBL3103862,389.46,2.3,3,7
CN(C)Cc1nc2c(sc3ccc(-c4ccc(OCCCN)cc4)cc32)c(=O)[nH]1,8.22,6.025595860743569,ChEMBL,Ki,CHEMBL576388,408.53,3.59,2,6
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC[C@H](NCC(F)F)CC1,8.22,6.025595860743569,ChEMBL,Ki,CHEMBL4455188,511.55,3.87,3,8
Nc1ccc(-c2ccccn2)nc1C(=O)Nc1cnccc1N1CCC[C@H](N)C1,8.22,6.025595860743569,ChEMBL,Ki,CHEMBL3103860,389.46,2.3,3,7
COC(=O)N[C@@H]1[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cc(C4(O)CCC4)cc3F)n2)C[C@@H]1C,8.216811308924742,6.07,ChEMBL_IC50,IC50,,583.61,4.75,4,7
CC(O)CC#Cc1c(Cl)c2c(Cl)cc(C(N)=O)nc2n1[C@H]1CCCNC1,8.214670164989233,6.1,ChEMBL_IC50,IC50,,395.29,2.49,3,5
NC(=O)c1cc(Cl)c2c(Cl)c(C#CC3CNCCO3)n([C@H]3CCCNC3)c2n1,8.214670164989233,6.1,ChEMBL_IC50,IC50,,422.32,1.71,3,6
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1CCOC1,8.214670164989233,6.1,ChEMBL_IC50,IC50,,363.42,2.42,3,5
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1N(C)C(C)C,8.214670164989233,6.1,ChEMBL_IC50,IC50,,349.44,3.06,2,4
CS(=O)(=O)CCn1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCNCC3)n2)cn1,8.21,6.16595001861481,ChEMBL,Ki,CHEMBL3956440,466.57,1.52,1,10
Cn1cc(-c2cc3c(-c4cccc(O[C@@H]5CCCNC5)n4)n[nH]c3cn2)cn1,8.21,6.16595001861481,ChEMBL,Ki,CHEMBL3634755,375.44,2.55,2,7
N[C@H]1C=C(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)CCC1,8.200659450546418,6.3,ChEMBL_IC50,IC50,,418.45,4.71,2,6
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NCC(C)(C)N,8.200659450546418,6.3,ChEMBL_IC50,IC50,,364.45,2.37,4,5
Nc1nnc(-c2ccc3[nH]cc(-c4nccc(Oc5ccccc5)n4)c3c2)o1,8.194431182451444,6.391,ChEMBL_IC50,IC50,,370.37,4.05,2,7
N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ccccn4)nn23)C1,8.193820026016112,6.4,ChEMBL_IC50,IC50,,386.46,2.86,2,8
Nc1nnc(-c2ccc3[nH]cc(-c4cncc(N5CCC(F)(F)C5)n4)c3c2)o1,8.191451448759594,6.435,ChEMBL_IC50,IC50,,383.36,3.1,2,7
Cc1ccc(-n2ncc3cnc(-c4cnn(CC(F)(F)F)c4)cc32)nc1N1CCNC[C@H](O)C1,8.19,6.456542290346563,ChEMBL,Ki,CHEMBL3942104,472.48,2.32,2,9
C[C@H]1CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)[C@H]1C#N,8.1890957193313,6.47,ChEMBL_IC50,IC50,,466.47,3.74,2,6
N[C@H]1CCCN(c2ccccc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,8.187086643357144,6.5,ChEMBL_IC50,IC50,,420.47,4.35,2,6
CN1CCCC(Nc2ccnc(-c3c[nH]c4ccc(-c5nnc(N)o5)cc34)n2)C1,8.180785200117615,6.595,ChEMBL_IC50,IC50,,390.45,2.76,3,8
FC(F)(F)Cn1cc(-c2cc3c(cn2)cnn3-c2cncc(N3CCCNCC3)n2)cn1,8.18,6.606934480075965,ChEMBL,Ki,CHEMBL3900834,443.44,2.44,1,9
COCCS(=O)(=O)[C@@H]1[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H]1C,8.175223537524454,6.68,ChEMBL_IC50,IC50,,562.61,4.08,2,7
NC(=O)c1cc(Cl)c2c(Cl)c(C#CCN3CCCC3=O)n([C@H]3CCCNC3)c2n1,8.173925197299173,6.7,ChEMBL_IC50,IC50,,434.33,2.34,2,5
CN(c1ccccc1)c1ccc2cccc(-c3cc4c([nH]3)CCNC4=O)c2n1,8.167491087293763,6.8,ChEMBL_IC50,IC50,,368.44,4.28,2,3
Cc1nc2cccc(-c3cc4c(s3)CNC4=O)c2nc1NC(C)(C)C,8.167491087293763,6.8,ChEMBL_IC50,IC50,,352.46,4.12,2,5
