smiles,pIC50,IC50_nM,source,activity_type,chembl_id,MW,LogP,HBD,HBA
C[C@H]1CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@@H](N)[C@@H]1O,10.096910013008056,0.08,ChEMBL_IC50,IC50,,451.48,2.96,3,8
Cc1ccc(-c2n[nH]c3cnc(-c4cnn(C)c4)cc23)nc1N1CCC[C@H](N)C1,10.06,0.08709635899560797,ChEMBL,Ki,CHEMBL3634760,388.48,2.66,2,7
N[C@@H]1CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@H](N)[C@H]1O,10.045757490560677,0.09,ChEMBL_IC50,IC50,,452.47,1.65,4,9
O=C(Nc1c[nH]c2ncc(-c3ccccc3F)cc12)c1cnn2ccc(NCC3CCNCC3)nc12,10.03,0.09332543007969925,ChEMBL,Ki,CHEMBL2387463,484.54,4.08,4,7
C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,10.0268721464003,0.094,ChEMBL_IC50,IC50,,435.48,3.99,2,7
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCC[C@H](N)CC1,10.0,0.1,ChEMBL,Ki,CHEMBL4437940,447.52,2.97,3,8
C[C@H]1C[C@@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,10.0,0.1,ChEMBL_IC50,IC50,,435.48,3.99,2,7
C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C5CC5)c(NC5(C)CCC5)nc34)[nH]c21,10.0,0.1,ChEMBL_IC50,IC50,,421.48,4.02,3,5
CCN(c1cnc2cccc(-c3cc4c([nH]3)CCNC4=O)c2n1)C(C)(C)C,10.0,0.1,ChEMBL_IC50,IC50,,363.47,3.54,2,4
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CC[C@@H](N)[C@H](F)CC1,10.0,0.1,ChEMBL,Ki,CHEMBL3648680,465.51,2.92,3,8
C[C@H]1C[C@@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4ccccc4F)nn23)C1,10.0,0.1,ChEMBL_IC50,IC50,,417.49,3.85,2,7
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(N[C@H]5CCC[C@@H](N)C5)nc34)[nH]c21,10.0,0.1,ChEMBL_IC50,IC50,,406.49,2.41,4,6
C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4cc(C(=O)NC5CC5)ccc4F)nn23)C1,10.0,0.1,ChEMBL_IC50,IC50,,500.58,3.74,3,8
C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C)c(NC5(C)CC5)nc34)[nH]c21,10.0,0.1,ChEMBL_IC50,IC50,,381.41,2.84,3,5
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC5(C)CC5)nc34)[nH]c21,10.0,0.1,ChEMBL_IC50,IC50,,389.46,3.5,3,5
Cc1nc2ccc(F)c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NC(C)(C)C,9.962573502059376,0.109,ChEMBL_IC50,IC50,,367.43,4.09,3,4
Cc1cncc(-c2cc3c(-c4cccc(N5CCCNCC5)n4)n[nH]c3cn2)n1,9.96,0.10964781961431828,ChEMBL,Ki,CHEMBL3978766,386.46,2.59,2,7
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CCCO)c(NC(C)(C)C)nc34)[nH]c21,9.958607314841776,0.11,ChEMBL_IC50,IC50,,409.49,2.79,4,6
CC(c1cn(C)cn1)n1c(NC2(C)CC2)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O,9.958607314841776,0.11,ChEMBL_IC50,IC50,,457.54,3.5,3,7
Cc1cncc(-c2cc3c(cn2)cnn3-c2ccc(C(F)(F)F)c(N3CCC[C@H](N)C3)n2)n1,9.94,0.1148153621496884,ChEMBL,Ki,CHEMBL3961823,454.46,3.53,1,8
