smiles,mps1_pIC50,aurora_pIC50,herg_pIC50
FC(F)c1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,8.4,,
CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3cccs3)c3ccccc32)CC1,,7.85,
N[C@H]1CCCN(c2ccncc2Nc2nnc3ccccn23)C1,7.132532512140949,,
c1cc(-c2nnc[nH]2)c2nc(NC3CCCC3)c3ccncc3c2c1,7.585026652029182,,
Cl.Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1-c1nc2ccccc2o1,,,6.12
COc1cnc(Oc2ccc(-c3c(C)n[nH]c(=O)c3C)cc2)c2c[nH]nc12,,6.16,
O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,,,4.92
C[C@H]1CN(c2ccncc2NC(=O)c2ccc3sc(-c4ccccc4)cc3n2)C[C@@H](N)[C@@H]1O,6.259637310505756,,
CCCc1cnc2c(C(=O)Nc3cnccc3N3C[C@@H](N)[C@@](C)(O)[C@@H](C)C3)c(N)oc2c1,8.0,,
Cn1cnc(C(=O)N(Cc2cccc(OC(F)(F)F)c2)C[C@H]2[C@@H]3CN(CC4CCCC4)C[C@@H]32)c1,,,6.34
NCCC1CNC(=O)c2cc(-c3ccnc(Cl)c3)c(-c3ccc(CO)cc3)n21,6.958607314841775,,
Cc1ncnc(C)c1-c1ccc(Oc2nccc3n[nH]cc23)cc1,,6.89,
COCCCc1cc(Cl)c(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c1,,,5.32
OC1(COc2cccc3ccc(-c4nnc5ccccn45)nc23)CCCNCC1,6.0,,
Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2cccc(F)c2)CCN(C(=O)C(C)(C)C)CC1,,,5.8
OCc1cc2cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)ccn2n1,,6.62,
Cn1ncc(NC(=O)c2nc(-c3ccccc3F)ccc2N)c1N1CCCC(N)CC1,8.78,,
O=C(NC1CCN(C2CCc3cc4oc(=O)[nH]c4cc32)CC1)c1cc(=O)c2ccc(F)cc2o1,,,4.6
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1CCCNC1=O,7.0670191780768015,,
C[C@H]1CN(c2ccncc2NC(=O)c2ccc3sc(C4CC4)nc3n2)C[C@@H](N)[C@@H]1O,6.259637310505756,,
CNC(=O)c1ccnc(-c2c[nH]c3ccc(-c4nnc(NC(C)C)o4)cc23)n1,6.185752404268079,,
O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3cccc(F)c32)CC1,,,5.2
CC(C)c1ccnc(-c2c[nH]c3ccc(-c4nnc(NCC#N)o4)cc23)n1,8.54882784248746,,
Cc1ccccc1[C@@H]1CCN(C[C@@H]2CCc3cccnc3[C@@H](O)C2)C[C@H]1CO,,,4.7
Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)sc2ncnn12,,,6.15
CC(C)[C@]1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC[C@@H](N2CCC(c3cccc(F)c3)CC2)C1,,,7.35
COc1cc(-c2cn(CC(=O)N(Cc3ccc(F)cc3)C3C4CC5CC(C4)CC3C5)nn2)ccc1-n1cnc(C)c1,,,6.6
O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccc2sccc2c1,,,5.7
CC(=O)Nc1cc(-c2cccc(N3CCN(C)CC3)n2)nc(-n2nc(C)cc2C)n1,,,6.27
Cc1cc2nc(C(=O)Nc3cnccc3N3C[C@H](C)C[C@H](N)C3)ccc2s1,6.259637310505756,,
CN1CCCN(c2cncc(-c3cccc(CCC(=O)O)c3)n2)CC1,5.853871964321762,,
CC1(C)c2nc(-c3ccc(F)cc3)c(Nc3ccc(F)cc3)n2CCN1C(=O)CN,,,4.87
O=c1[nH]c(CN2CC[C@H](O)C2)nc2c1sc1ccc(Cl)cc12,7.54,,
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,,5.54,
Cc1cncc(-c2cc3c(cn2)cnn3-c2ccc(C3CC3)c(N3CCC[C@H](N)C3)n2)n1,10.11,,
COc1ccc(C2CCN(CCC3CCOc4ccccc43)CC2)cc1OC,,,6.7
O=c1[nH]cnc2[nH]c(-c3cccc4ccc(Nc5ccc(Cl)cc5)nc34)cc12,7.690369832574102,,
CC(C)(C)n1cc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCNCC3)n2)cn1,7.98,,
Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C(F)(F)C(F)(F)F)oc6cc5CC4)n3C)cccc2n1,,,7.0
CC#CCC1CNC(=O)c2cc(-c3cccc4nc(C)c(F)nc34)[nH]c21,6.151195298948196,,
NC(=O)c1ccc(-c2ccc3[nH]nc(-c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2)c(F)c1,9.221848749616356,,
C[C@H]1CCCN(c2ccnc(-c3c[nH]c4ccc(-c5nnc(N)o5)cc34)n2)C1,8.318125877871353,,
Cc1cc(Oc2nccc3occc23)ccc1-c1ccnn1C,,6.59,
NC(=O)c1cccc2c1nc(Nc1ccccc1Cl)c1ccsc12,7.920818753952375,,
c1ccc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)C(C4CCSCC4)N3)n2)cc1,,,6.92
O=C1CC2(CCCC2)CC(=O)N1CCCCNCC1COc2ccccc2C1,,5.48,
CC(C)Nc1cncc(-c2c[nH]c3ccc(-c4nnc(N)o4)cc23)n1,8.395234115296113,,
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCC4(CN(C=O)C4)C3)n2)n1,7.39,,
CCCCc1cc2c(s1)C[C@H]1c3cc(O)c(OC)cc3CCN1C2,,7.21,
Cc1ccc2c(N3CCN(CCc4cccc5c4OCC(=O)N5CC4CC4)CC3)cccc2n1,,,5.8
O=C1NCCc2[nH]c(-c3cccc4ccc(Nc5cncnc5)nc34)cc21,8.55284196865778,,
Cc1ncnc(N2CC(F)C2)c1-c1ccc(Oc2nccc3[nH]ccc23)cc1F,,8.29,
CN1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ccc(N)nc7)[nH]6)CC5)cc4)nc3n2)CC1,,,5.21
O=C1CN(CCc2ccc(F)cc2)CCN1[C@H]1CCc2cc(CN3CCS(=O)(=O)CC3)ccc2C1,,,4.62
Cc1cnc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc5[nH]ccc5c4)n2C)CC3)o1,,,7.4
CCc1nc2cc3c(c(Br)c2o1)CCN(CCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,,,5.6
CC(=O)N(Cc1ccc([C@H]2CN(C)CCc3cc(Cl)c(O)cc32)cc1)C1CCC1,,9.7,
CNc1nnc(-c2ccc3[nH]cc(-c4cccc(OC(C)C)n4)c3c2)o1,7.708187312532881,,
Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N(C)C)c34)cc2C)cn1,,,5.1
CCOC(=O)c1cc2cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)ccn2n1,,6.82,
CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)CC1CC1c1ccc(C(F)(F)F)cc1.Cl,,5.89,
COc1ncc(-c2cccc(C)c2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,,,5.2
CC(=O)N1Cc2cc(Cl)ccc2-n2c(nnc2C2CCN(c3ccccn3)CC2)C1,,,4.45
CN1CCOc2c1cnn1c(-c3ccc4cccc(NC5CCC(C)(C)CC5)c4n3)nnc21,5.0,,
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccccc4Cl)n2C)CC3)no1,,,7.2
Nc1ccc(C2CCCCC2)nc1C(=O)Nc1cnccc1N1CCC[C@H](N)C1,8.4,,
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(NC5(C)CCC5)nc34)[nH]c21,9.886056647693165,,
CN1CCOc2c1cnn1c(-c3ccc4ccnc(NCC5(F)CCNCC5)c4c3)nnc21,6.913640169325252,,
Cc1cc(-c2ccncc2NC(=O)c2nc(-c3ccccc3F)ccc2N)nc(N)n1,8.523,,
