smiles,mps1_pIC50,aurora_pIC50,herg_pIC50
C=C(c1cc2c([nH]1)CCNC2=O)c1nc(N[C@@H]2CCN(C(C)=O)C2)c(C)nc1C,7.462180904926726,,
C=C(c1ccccc1)c1ccc2cccc(-c3cc4c([nH]3)CCNC4=O)c2n1,8.09151498112135,,
C=C1CCNCC1Oc1cncc(-c2n[nH]c3ccc(-c4c(F)cccc4F)cc23)n1,8.0,,
C=CC(=O)N1CCC[C@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,4.523,,
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,4.523,,
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,5.0,,
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,5.0,,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,4.523,,
C=CCN1CCc2c(cc(O)c(O)c2Br)[C@@H](c2ccccc2)C1,,8.52,
C=CCN1CCc2c(cc(O)c(O)c2Cl)[C@@H](c2ccccc2)C1,,7.7,
C=CCN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1.Cl,,9.05,
C=CCN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1.Cl,,8.92,
C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1.Cl,,7.92,
C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2Br)C1,,6.88,
C=CCN1CCc2cc(OC)c(O)cc2C(c2c(Cl)cccc2Cl)C1,,5.98,
C=CCN1CCc2cc(OC)c(O)cc2C(c2ccccc2Br)C1,,7.39,
C=CCN1CCc2cc(OC)c(O)cc2C(c2ccccc2Cl)C1,,7.32,
C=CCN1CCc2ccc(O)cc2C(c2ccccc2)C1.Cl,,7.32,
C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,,8.85,
C=CCN1C[C@H]2C[C@@]2(c2ccc(NS(=O)(=O)c3ccc(C(C)C)cc3)cc2)C1,,,7.0
C=CCOC[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc34)C2)CC1,,,5.3
C=CCO[C@H]1CC[C@@H](N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc34)C2)CC1,,,5.13
C=CCOc1c(OC)cc2c3c1-c1cc(N)ccc1CC3N(C)CC2,,6.08,
