metric,mean,std,ci_low,ci_high,single_split
R2,0.7016672945889406,0.04944642527516307,0.604752301049621,0.7985822881282603,0.7285481859868845
RMSE,0.6398663473865458,0.043217952130242945,0.5551591612112696,0.724573533561822,
MAE,0.45266802648183313,0.02762691536109291,0.398519272374091,0.5068167805895752,
