iteration,r2_random
1,-0.3989963252654709
2,-0.34143775100502816
3,-0.38668602959436793
4,-0.33131816542871806
5,-0.4562977627751654
6,-0.440968452875969
7,-0.36207644731197686
8,-0.3676063485750778
9,-0.36716560824178424
10,-0.29060220496061673
11,-0.39896086961812904
12,-0.3658170915365795
13,-0.32355011885226537
14,-0.3945644027088664
15,-0.318311731524096
16,-0.4151934599125935
17,-0.44088007363202153
18,-0.3758382271214207
19,-0.3029572506894489
20,-0.3731330607547396
21,-0.5278862661559778
22,-0.48917295426029006
23,-0.36731732216390833
24,-0.3368786167473521
25,-0.29504042719023804
26,-0.3501350963519252
27,-0.30558683252669616
28,-0.3961438713202847
29,-0.464203626058985
30,-0.4075767374218955
31,-0.40197137435626673
32,-0.3954433462702851
33,-0.4665815113020324
34,-0.3042078225929221
35,-0.37785669588392046
36,-0.28792186543122344
37,-0.3596773261037909
38,-0.3654044872521147
39,-0.4291787706327197
40,-0.37248538826923205
41,-0.2906180673533836
42,-0.38270025475149616
43,-0.37892810141137145
44,-0.3914671823030471
45,-0.2588377940982891
46,-0.3984080970974262
47,-0.3599105108744294
48,-0.4443613416227039
49,-0.3366168584727032
50,-0.4506654208752927
51,-0.3292895301531775
52,-0.31802647936756845
53,-0.37085850622964345
54,-0.29587724911764046
55,-0.476306885164691
56,-0.4725256281330126
57,-0.477349728392362
58,-0.2195270959702149
59,-0.35996266113098585
60,-0.3754449404446907
61,-0.35409634284893476
62,-0.45694364859522474
63,-0.42320519528456346
64,-0.4054099211005029
65,-0.4690940400217056
66,-0.5418549136455901
67,-0.5229946131700456
68,-0.4141512886351646
69,-0.45690395560813424
70,-0.3882546093562378
71,-0.6029876199216992
72,-0.43431692219103213
73,-0.2862991152746246
74,-0.32535656777931576
75,-0.4209144573094177
76,-0.49294244296475687
77,-0.31123856171319053
78,-0.3367406462440903
79,-0.3935513041121639
80,-0.43937926677547123
81,-0.37661544863138263
82,-0.2813035014729701
83,-0.40216745477319704
84,-0.43090087708511193
85,-0.282696591362418
86,-0.4111979835893087
87,-0.2995887359648799
88,-0.3841002693864477
89,-0.49253597923229164
90,-0.30263077725498655
91,-0.3347842633757181
92,-0.3025277875865857
93,-0.42657765589206353
94,-0.409774470298933
95,-0.5136965399289166
96,-0.514551963476777
97,-0.3535945132916998
98,-0.5107744651354797
99,-0.3736580687260702
100,-0.4375248195989576
