ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,leverage,in_ad_leverage
phase2_7CIL_LIG_129244943,7CIL_LIG,-8.806,2,0,350.43,3.56,3,7,107.24,7.391,40.62,CC(C)n1cc(Nc2nc(N[C@@H](C)C3CC3)c3c(C#N)c[nH]c3n2)cn1,0.20547510952963027,True
phase2_7CHM_LIG_142416332,7CHM_LIG,-9.708,3,0,465.49,3.16,3,8,128.19,7.338,45.87,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(NC2(C)CC2)c2c(C#N)c[nH]c2n1,0.1774475857733926,True
phase2_7CHM_LIG_142416338,7CHM_LIG,-9.482,3,1,480.55,3.37,4,8,130.99,7.317,48.2,CNc1nc(Nc2cc(F)c(C(=O)NC3CCN(C(C)C)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.1705844923447539,True
phase2_7CHM_LIG_151620004,7CHM_LIG,-9.829,2,1,477.48,4.66,3,7,118.96,7.251,56.07,COc1cc(C(=O)N2C=CC(F)(F)C=C2)ccc1Nc1nc(NC2(C)CC2)c2c(C#N)c[nH]c2n1,0.14064894021992944,True
phase2_7CHM_LIG_142416384,7CHM_LIG,-9.545,3,0,494.58,3.76,4,8,130.99,7.227,59.27,CCNc1nc(Nc2cc(F)c(C(=O)NC3CCN(C(C)C)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.20164875933069717,True
phase2_7CHM_LIG_162614379,7CHM_LIG,-9.641,3,1,470.52,4.85,3,6,95.17,7.194,63.91,COc1cc(C(=O)N2CCC(F)(F)CC2)ccc1Nc1nc(NC2(C)CC2)c2c(C)c[nH]c2n1,0.17665038017923287,True
phase2_7CHN_LIG_155118967,7CHN_LIG,-9.071,3,1,362.44,4.12,4,6,111.78,7.194,63.97,COc1cc(N)ccc1Nc1cc(NC2CCCC2)c2c(C#N)c[nH]c2n1,0.12853887650075993,True
phase2_7CIL_LIG_141725010,7CIL_LIG,-8.813,4,3,344.4,2.22,4,7,95.48,7.185,65.31,CCn1cc(Nc2nc(N[C@@H]3CCCNC3)c3c(F)c[nH]c3n2)cn1,0.12793655772460202,True
phase2_7CIL_LIG_155621801,7CIL_LIG,-8.811,5,1,344.4,2.22,4,7,95.48,7.185,65.31,CCn1cc(Nc2nc(N[C@@H]3CCCNC3)c3c(F)c[nH]c3n2)cn1,0.12793655772460202,True
phase2_7CIL_LIG_129275440,7CIL_LIG,-9.659,2,0,350.45,4.88,2,5,75.78,7.15,70.79,CC(C)n1cc(Nc2nc([N+]#C[C@H](C)C3CCC3)c3cc[nH]c3n2)cn1,0.2196015510526023,False
phase2_7CHN_LIG_155118910,7CHN_LIG,-10.439,3,0,473.54,4.22,3,8,128.19,7.124,75.2,N#Cc1c[nH]c2nc(Nc3ccc(N4CCCC4=O)c4c3OCCO4)nc(NC3CCCCC3)c12,0.1808920795025712,True
phase2_7CHN_LIG_155118918,7CHN_LIG,-7.83,3,1,487.56,4.61,3,8,128.19,7.114,76.86,N#Cc1c[nH]c2nc(Nc3ccc(N4CCCC4=O)c4c3OCCO4)nc(NC3CCCCCC3)c12,0.18248669118167604,True
phase2_7CHM_LIG_146393701,7CHM_LIG,-7.025,2,1,463.51,4.46,2,6,103.27,7.096,80.22,COc1cc(C(=O)N2CCCCOCC2)c(F)cc1Nc1cc(C2CC2)c2c(C#N)c[nH]c2n1,0.1875457812481898,True
phase2_7CHN_LIG_155118969,7CHN_LIG,-7.994,1,1,351.37,1.97,4,8,133.9,7.094,80.56,COc1cc(N)ccc1Nc1nc(NC2COC2)c2c(C#N)c[nH]c2n1,0.16544815810365193,True
phase2_7CHM_LIG_146393688,7CHM_LIG,-9.424,1,0,435.46,3.68,2,6,103.27,7.082,82.81,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1cc(C2CC2)c2c(C#N)c[nH]c2n1,0.1826077263253695,True
phase2_7CIL_LIG_146851006,7CIL_LIG,-7.97,2,0,310.37,2.7,3,7,107.24,7.076,84.02,CNc1nc(Nc2cn(C(C)C)nc2C)nc2[nH]cc(C#N)c12,0.1631746286084686,True
phase2_7CIL_LIG_155022217,7CIL_LIG,-7.976,2,0,310.37,2.7,3,7,107.24,7.039,91.34,CNc1nc(Nc2cnn(C(C)C)c2C)nc2[nH]cc(C#N)c12,0.12683428498983484,True
phase2_7CHN_LIG_155119022,7CHN_LIG,-9.431,3,0,473.58,5.09,3,7,118.96,7.027,93.93,CC(C)COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCC2)c2c(C#N)c[nH]c2n1,0.23917029910839402,False
phase2_7CHN_LIG_155119023,7CHN_LIG,-8.311,5,0,337.39,2.98,4,7,124.67,7.023,94.9,COc1cc(N)ccc1Nc1nc(NC(C)C)c2c(C#N)c[nH]c2n1,0.13309728817690378,True
phase2_7CIL_LIG_166675729,7CIL_LIG,-8.856,3,1,344.4,2.22,4,7,95.48,7.007,98.36,CCn1cc(Nc2nc(N[C@H]3CN[C@@H](C)C3)c3c(F)c[nH]c3n2)cn1,0.1602177512162155,True
phase2_7CHM_LIG_142416410,7CHM_LIG,-9.689,2,1,451.46,2.77,3,8,128.19,6.996,100.92,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(NC2CC2)c2c(C#N)c[nH]c2n1,0.16498640793231115,True
phase2_7CIL_LIG_142755084,7CIL_LIG,-8.776,3,1,374.88,3.12,4,7,95.48,6.982,104.16,CCn1cc(Nc2nc(N[C@@H]3CC[C@H](C)NC3)c3c(Cl)c[nH]c3n2)cn1,0.1922397799230496,True
phase2_7CIL_LIG_142755078,7CIL_LIG,-9.341,2,1,354.46,2.49,3,7,86.69,6.94,114.8,CCn1cc(Nc2nc(N(C)[C@@H]3CC[C@H](C)NC3)c3cc[nH]c3n2)cn1,0.2071456909343283,True
