cid,seed,smiles,sdf_file,conformer,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Rings,AromaticRings
5625,seed_0,CC(C)NC1=C(N=CC=C1)N2CCN(CC2)C(=O)C3=CC4=C(N3)C=CC(=C4)NS(=O)(=O)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_5625.sdf,3d,456.57,2.72,3,6,110.43,6,32,4,3
68029831,seed_0,CN1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C=C5C(=O)NCC6(N5C4=N3)CCCCC6,kinase_domain/data/phase2b/raw/phase2b_seed_0_68029831.sdf,3d,446.56,2.72,2,8,91.21,3,33,6,3
51352361,seed_0,CC1(CS(=O)(=O)N(C(=N1)N)C)C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)F)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_51352361.sdf,3d,409.42,1.42,2,6,117.75,3,28,3,2
58124325,seed_0,CC(C)C(C(=O)N)NC(=O)C1=NN(C2=CC=CC=C21)CC3=CC=C(C=C3)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_58124325.sdf,3d,368.41,2.46,2,4,90.01,6,27,3,3
132519,seed_0,CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC,kinase_domain/data/phase2b/raw/phase2b_seed_0_132519.sdf,3d,388.47,1.5,5,4,123.32,9,28,2,2
30928,seed_0,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C.OP(=O)(O)O,kinase_domain/data/phase2b/raw/phase2b_seed_0_30928.sdf,2d,437.48,2.43,4,4,136.98,8,30,2,2
16095400,seed_0,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_16095400.sdf,3d,381.3,4.69,1,3,46.92,4,27,3,3
107805,seed_0,CN(C)CCNC(=O)C1=CC=CC2=CC3=CC=CC=C3N=C21,kinase_domain/data/phase2b/raw/phase2b_seed_0_107805.sdf,3d,293.37,2.68,1,3,45.23,4,22,3,3
153948,seed_0,C1C(=O)NC(=O)C12C(=O)N(C(=O)C3=CC=CN23)CC4=C(C=C(C=C4)Br)F,kinase_domain/data/phase2b/raw/phase2b_seed_0_153948.sdf,3d,420.19,1.31,1,5,88.48,2,26,4,2
9919680,seed_0,C1CC1NC(=O)C2=CN(C3=C(C2=O)C=CC=N3)C4=CC=CC(=C4)C#CC5=C[N+](=CC=C5)[O-],kinase_domain/data/phase2b/raw/phase2b_seed_0_9919680.sdf,3d,422.44,2.31,1,5,90.93,3,32,5,4
11689883,seed_0,CC1=NC=C(C=C1)NC(=O)NC2=CC=CC(=C2F)CN3CCN(CC3)C(=O)OC,kinase_domain/data/phase2b/raw/phase2b_seed_0_11689883.sdf,3d,401.44,3.06,2,5,86.8,4,29,3,2
59634741,seed_0,C1CC1CN2CCN(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5,kinase_domain/data/phase2b/raw/phase2b_seed_0_59634741.sdf,3d,450.56,3.2,1,5,82.61,6,32,5,3
6914657,seed_0,C1CN(CCC1CCCCNC(=O)C=CC2=CN=CC=C2)C(=O)C3=CC=CC=C3,kinase_domain/data/phase2b/raw/phase2b_seed_0_6914657.sdf,3d,391.52,3.93,1,3,62.3,8,29,3,2
5496659,seed_0,CC(C(CC1=CC(=CC=C1)C(=N)N)C(=O)OC)NC(=O)C2=CC=C(C=C2)C3=CC=[N+](C=C3)[O-],kinase_domain/data/phase2b/raw/phase2b_seed_0_5496659.sdf,3d,446.51,2.42,3,5,132.21,8,33,3,3
11338033,seed_0,C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,kinase_domain/data/phase2b/raw/phase2b_seed_0_11338033.sdf,3d,382.25,2.45,4,4,98.91,4,25,3,2
71405,seed_0,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4.Cl.Cl,kinase_domain/data/phase2b/raw/phase2b_seed_0_71405.sdf,2d,424.33,2.4,1,5,68.78,2,28,4,2
4487,seed_0,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CN=CC=C3,kinase_domain/data/phase2b/raw/phase2b_seed_0_4487.sdf,3d,308.34,2.13,1,5,68.92,3,23,3,3
5329106,seed_0,CC1=C(NC(=C1C(=O)NCCN2CCCC2)C)C=C3C4=C(C=CC(=C4)F)NC3=O,kinase_domain/data/phase2b/raw/phase2b_seed_0_5329106.sdf,3d,396.47,3.09,3,3,77.23,5,29,4,2
2396,seed_0,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,kinase_domain/data/phase2b/raw/phase2b_seed_0_2396.sdf,3d,412.49,3.64,2,4,70.13,6,31,5,4
155907792,seed_0,CCCCN1C2=CC=CC=C2C(=N1)C(=O)NC(C(=O)N)C(C)(C)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_155907792.sdf,3d,330.43,2.47,2,4,90.01,6,24,2,2
3510,seed_0,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_3510.sdf,3d,312.42,2.32,1,4,50.16,2,23,4,2
68663,seed_0,C1CN2CC3=C(CC2CN1CCCC(=O)C4=CC=C(C=C4)F)C5=CC=CC=C5N3,kinase_domain/data/phase2b/raw/phase2b_seed_0_68663.sdf,3d,391.49,4.01,1,3,39.34,5,29,5,3
71535962,seed_0,CCC(=O)NC1CCCC2=C1C=NC=C2C3=CC4=C(C=C3)N(C(=O)CC4)C,kinase_domain/data/phase2b/raw/phase2b_seed_0_71535962.sdf,3d,363.46,3.56,1,3,62.3,3,27,4,2
