ligand,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder,MW,LogP,HBD,HBA,TPSA,RotBonds,SA_score,SA_class,PAINS,Brenk_alert,ro5_violations,passes_local,smiles,passes_admet,affinity_kcal,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2b_seed_1_52934180,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.38a=133.9,True,405.5,3.7,1,5,83.88,2,3.362,moderate,False,False,0,True,Cc1nc2ccc(C(=O)N3CCC4(CC3)CC(=O)c3c(cnn3C(C)C)C4)cc2[nH]1,True,-8.7,5.354,0.26,4422.11,low,0.473684210526316,0.22526180807864937,0.3494730093024827
phase2b_seed_4_90072314,4,0,4,0,0,0,0,"[603, 605]",GLU603(ldon)d=3.23a=117.2 | GLU603(ldon)d=3.78a=155.5 | GLY605(ldon)d=4.09a=134.4 | GLY605(ldon)d=3.13a=132.4,True,460.51,3.15,3,8,121.08,4,4.947,moderate,False,False,0,True,Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1[C@@]12CC[C@@H](N)[C@@H](CC1)O2,True,-8.6,8.363,0.319,4.33,low,0.5000000000000001,0.8683479375935029,0.6841739687967515
phase2b_seed_4_45482952,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.98a=110.5,True,461.45,3.17,2,7,97.2,4,4.26,moderate,False,False,0,True,CNC(=O)Nc1ccc(-c2nc(N3[C@@H]4CC[C@H]3COC4)c3cnn(CC(F)(F)F)c3n2)cc1,True,-8.6,5.169,0.253,6773.28,low,0.5000000000000001,0.1857234451805941,0.3428617225902971
phase2b_seed_4_53469619,2,0,2,0,0,0,0,"[603, 605]",GLU603(ldon)d=4.03a=119.5 | GLY605(ldon)d=3.30a=158.7,True,497.54,3.02,2,10,123.51,6,2.969,easy,False,False,0,True,Cn1ncc(C(=O)NCc2cn3ccsc3n2)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2n1,True,-8.6,5.153,0.185,7036.82,moderate,0.5000000000000001,0.18230391109211366,0.3411519555460569
phase2b_seed_2_132016492,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.25a=157.5 | GLY605(ldon)d=3.02a=126.7,True,446.45,4.56,1,4,64.15,6,3.257,moderate,False,False,0,True,NCc1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,True,-8.6,5.139,0.275,7267.51,low,0.5000000000000001,0.17931181876469343,0.3396559093823468
phase2b_seed_2_720149,7,1,6,0,0,0,0,[605],GLY605(pdon)d=3.37a=156.9 | GLY605(ldon)d=3.23a=123.9 | GLY605(ldon)d=3.50a=116.1 | GLY605(ldon)d=3.33a=125.1 | GLY605(ldon)d=3.22a=156.5 | GLY605(ldon)d=3.21a=106.8 | GLY605(ldon)d=3.51a=113.0,True,346.39,3.6,2,4,83.98,4,1.991,easy,False,False,0,True,Cc1cccc(NC(=O)c2cccc(C(=O)Nc3cccc(C)n3)c2)n1,True,-8.6,4.816,0.224,15281.56,low,0.5000000000000001,0.11027997435349435,0.30513998717674723
phase2b_seed_0_11625818,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.33a=135.1,True,415.43,3.75,2,7,101.38,5,3.122,moderate,False,False,0,True,CC[C@H](Nc1ncnc2nc[nH]c12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,True,-8.5,5.098,0.268,7972.71,low,0.5263157894736842,0.1705492626629622,0.3484325260683232
phase2b_seed_3_135565981,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.04a=169.1 | GLU603(ldon)d=3.44a=142.7 | GLY605(ldon)d=3.30a=153.8 | GLY605(ldon)d=3.86a=122.0,True,317.35,2.39,2,5,73.38,2,2.959,easy,False,False,0,True,O=c1[nH]nc2c3c(cccc13)NC(CN1Cc3ccccc3C1)=N2,True,-8.5,5.939,0.144,1152.03,moderate,0.5263157894736842,0.3502885231887156,0.4383021563311999
phase2b_seed_4_11774068,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.78a=152.5,True,404.35,2.36,2,6,101.36,4,2.721,easy,False,False,0,True,CCn1c(=O)[nH]c2nc(-c3cnn(Cc4cccc(C(F)(F)F)c4)c3)[nH]c2c1=O,True,-8.5,5.437,0.382,3652.05,low,0.5263157894736842,0.24300064116264172,0.38465821531816297
phase2b_seed_4_58548384,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.71a=153.6 | GLU603(ldon)d=3.62a=137.0,True,471.55,4.23,3,8,121.79,7,2.831,easy,False,False,0,True,CNC(=O)c1nc(-c2ccccc2)sc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,True,-8.5,6.222,0.215,599.56,low,0.5263157894736842,0.41077153237871356,0.46854366092619887
