ligand,affinity_kcal,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder
phase2b_seed_1_49850262,-8.5,2,1,1,0,0,0,0,[605],GLY605(pdon)d=2.79a=167.7 | GLY605(ldon)d=3.23a=175.5,True
phase2b_seed_4_11774068,-8.5,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.78a=152.5,True
phase2b_seed_0_68663,-8.5,3,1,2,0,0,0,0,[605],GLY605(pdon)d=2.98a=163.2 | GLY605(ldon)d=3.36a=165.8 | GLY605(ldon)d=2.80a=117.2,True
phase2b_seed_0_2929,-8.5,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.13a=152.8 | GLY605(ldon)d=2.93a=121.0 | GLY605(ldon)d=3.35a=106.4,True
phase2b_seed_4_58548384,-8.5,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.71a=153.6 | GLU603(ldon)d=3.62a=137.0,True
phase2b_seed_4_90072542,-8.5,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_56836188,-8.5,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.10a=164.0 | GLY605(ldon)d=3.12a=146.6 | GLY605(ldon)d=3.11a=125.0,True
phase2b_seed_1_10138259,-8.5,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_71288679,-8.5,0,0,0,0,0,0,0,[],,False
phase2b_seed_2_11430418,-8.5,4,1,3,0,0,0,0,[605],GLY605(pdon)d=2.87a=168.6 | GLY605(ldon)d=3.88a=102.2 | GLY605(ldon)d=2.80a=116.1 | GLY605(ldon)d=3.32a=125.1,True
phase2b_seed_4_156155310,-8.4,2,0,2,0,0,0,0,[605],GLY605(ldon)d=3.22a=160.9 | GLY605(ldon)d=3.33a=156.7,True
phase2b_seed_2_2387,-8.4,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=2.99a=154.4 | GLU603(ldon)d=2.98a=161.0,True
phase2b_seed_4_25261227,-8.4,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_59332218,-8.4,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.75a=119.2,True
phase2b_seed_2_6918877,-8.4,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.61a=117.8,True
phase2b_seed_2_49857317,-8.4,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.32a=149.3 | GLY605(ldon)d=2.83a=107.9,True
phase2b_seed_4_146560487,-8.4,5,1,4,0,0,0,0,[605],GLY605(pdon)d=3.50a=158.1 | GLY605(ldon)d=3.17a=128.4 | GLY605(ldon)d=2.80a=126.7 | GLY605(ldon)d=2.95a=125.7 | GLY605(ldon)d=3.73a=141.6,True
phase2b_seed_3_443884,-8.4,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.71a=162.8 | GLU603(ldon)d=3.11a=104.1 | GLU603(ldon)d=3.86a=146.8 | GLU603(ldon)d=2.97a=117.3 | GLY605(ldon)d=2.87a=111.2,True
phase2b_seed_1_10409068,-8.4,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.38a=158.3 | GLU603(ldon)d=3.99a=170.0,True
phase2b_seed_4_53482276,-8.4,9,1,8,0,0,0,0,"[603, 605]",GLY605(pdon)d=2.97a=169.4 | GLU603(ldon)d=3.89a=128.5 | GLY605(ldon)d=2.91a=124.6 | GLY605(ldon)d=3.74a=125.2 | GLY605(ldon)d=2.93a=125.0 | GLY605(ldon)d=3.96a=106.7 | GLY605(ldon)d=2.97a=142.7 | GLY605(ldon)d=3.93a=109.3 | GLY605(ldon)d=4.08a=133.9,True
phase2b_seed_2_11675244,-8.4,0,0,0,0,0,0,0,[],,False
phase2b_seed_0_9865515,-8.4,2,0,2,0,0,0,0,"[603, 605]",GLU603(ldon)d=3.47a=152.1 | GLY605(ldon)d=2.80a=130.0,True
phase2b_seed_2_146395245,-8.4,0,0,0,0,0,0,0,[],,False
phase2b_seed_2_466848,-8.4,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.45a=163.6 | GLY605(ldon)d=3.17a=139.9,True
phase2b_seed_0_71535962,-8.4,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=2.95a=162.4 | GLU603(ldon)d=3.73a=144.6 | GLU603(ldon)d=4.05a=114.9 | GLY605(ldon)d=3.69a=101.6,True
phase2b_seed_4_162639718,-8.4,1,0,1,0,0,0,0,[605],GLY605(ldon)d=2.93a=121.2,True
phase2b_seed_4_129116690,-8.4,4,1,3,0,0,0,0,[605],GLY605(pdon)d=3.20a=164.5 | GLY605(ldon)d=3.35a=125.8 | GLY605(ldon)d=3.28a=148.1 | GLY605(ldon)d=3.35a=105.3,True
phase2b_seed_4_165415295,-8.4,0,0,0,0,0,0,0,[],,False
phase2b_seed_2_16739265,-8.4,0,0,0,0,0,0,0,[],,False
phase2b_seed_1_122685543,-8.4,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=2.93a=162.4 | GLU603(ldon)d=3.56a=135.9 | GLY605(ldon)d=3.21a=115.0,True
phase2b_seed_1_5517,-8.4,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.28a=172.4 | GLU603(ldon)d=2.71a=143.7 | GLY605(ldon)d=3.42a=112.4,True
phase2b_seed_1_44603362,-8.3,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.81a=159.2 | GLY605(ldon)d=3.96a=122.8 | GLY605(ldon)d=3.40a=111.6,True
phase2b_seed_4_44199470,-8.3,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.32a=157.6 | GLY605(ldon)d=2.98a=120.4,True
phase2b_seed_0_11552706,-8.3,0,0,0,0,0,0,0,[],,False
phase2b_seed_2_72188645,-8.3,2,0,2,0,0,0,0,[605],GLY605(ldon)d=3.78a=103.6 | GLY605(ldon)d=3.64a=170.3,True
phase2b_seed_1_46901383,-8.3,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.04a=170.3 | GLU603(ldon)d=3.94a=118.3 | GLY605(ldon)d=3.16a=100.9,True
phase2b_seed_4_53469617,-8.3,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.15a=161.7 | GLU603(ldon)d=3.61a=152.0,True
phase2b_seed_2_58111426,-8.3,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_24996879,-8.3,0,0,0,0,0,0,0,[],,False
phase2b_seed_0_24958200,-8.3,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=2.90a=175.2 | GLU603(ldon)d=4.05a=108.4 | GLY605(ldon)d=3.19a=112.7 | GLY605(ldon)d=3.18a=117.3,True
phase2b_seed_4_58386288,-8.3,2,0,2,0,0,0,0,"[603, 605]",GLU603(ldon)d=4.04a=108.8 | GLY605(ldon)d=4.10a=165.5,True
phase2b_seed_2_164938183,-8.3,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.38a=154.8 | GLY605(ldon)d=3.06a=122.7 | GLY605(ldon)d=3.21a=124.0,True
phase2b_seed_4_137449220,-8.3,4,1,3,0,0,0,0,[605],GLY605(pdon)d=3.74a=160.8 | GLY605(ldon)d=3.13a=148.3 | GLY605(ldon)d=3.33a=124.6 | GLY605(ldon)d=2.86a=137.3,True
phase2b_seed_2_462958,-8.3,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.12a=137.2,True
phase2b_seed_4_165414951,-8.3,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_164628676,-8.3,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.46a=114.5,True
phase2b_seed_0_46181428,-8.3,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.53a=154.5 | GLU603(ldon)d=3.82a=102.7,True
phase2b_seed_4_53482332,-8.3,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.03a=166.8 | GLU603(ldon)d=3.18a=145.4,True
phase2b_seed_1_23649245,-8.3,0,0,0,0,0,0,0,[],,False
phase2b_seed_4_53329531,-8.3,2,1,1,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.97a=154.1 | GLU603(ldon)d=3.79a=117.5,True
phase2b_seed_4_91809176,-8.3,5,1,4,0,0,0,0,[605],GLY605(pdon)d=3.31a=160.2 | GLY605(ldon)d=3.79a=109.9 | GLY605(ldon)d=3.20a=126.0 | GLY605(ldon)d=2.87a=100.7 | GLY605(ldon)d=2.88a=105.1,True
phase2b_seed_4_53469815,-8.3,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.20a=163.3 | GLY605(ldon)d=3.72a=159.7,True
phase2b_seed_0_66571548,-8.3,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.37a=153.3 | GLU603(ldon)d=3.58a=104.4 | GLU603(ldon)d=3.67a=153.4 | GLY605(ldon)d=3.95a=113.4 | GLY605(ldon)d=4.07a=115.8,True
phase2b_seed_1_9826322,-8.3,1,0,1,0,0,0,0,[605],GLY605(ldon)d=3.36a=103.6,True
phase2b_seed_2_58548219,-8.3,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.53a=156.7 | GLY605(ldon)d=3.06a=131.7,True
phase2b_seed_4_56932125,-8.2,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.26a=162.0 | GLY605(ldon)d=3.13a=124.2 | GLY605(ldon)d=2.80a=167.1,True
phase2b_seed_4_137441521,-8.2,3,1,2,0,0,0,0,[605],GLY605(pdon)d=4.02a=160.1 | GLY605(ldon)d=2.86a=161.0 | GLY605(ldon)d=3.21a=137.5,True
phase2b_seed_4_71288606,-8.2,0,0,0,0,0,0,0,[],,False
phase2b_seed_0_5329106,-8.2,0,0,0,0,0,0,0,[],,False
phase2b_seed_0_5496659,-8.2,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=2.93a=171.8 | GLU603(ldon)d=2.97a=155.1 | GLU603(ldon)d=3.08a=118.3,True
phase2b_seed_4_25113172,-8.2,6,1,5,0,0,0,0,[605],GLY605(pdon)d=3.37a=156.3 | GLY605(ldon)d=3.14a=123.9 | GLY605(ldon)d=3.13a=123.4 | GLY605(ldon)d=3.42a=111.1 | GLY605(ldon)d=2.91a=147.6 | GLY605(ldon)d=2.97a=125.2,True
phase2b_seed_2_46927297,-8.2,1,1,0,0,0,0,0,[605],GLY605(pdon)d=3.94a=145.0,True
